symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ARPA/USDT:USDT,2024-08-16,0.03199,short,2,2024-08-16,0.033269599999999996,SL,0,-4.22,-8.44,-16880.0
BNT/USDT:USDT,2024-08-17,0.4679,short,2,2024-08-18,0.486616,SL,1,-4.22,-8.44,-16595.07
CAKE/USDT:USDT,2024-08-19,1.624,long,2,2024-08-21,1.7864000000000002,TP,2,9.78,19.56,37810.46
BNB/USDT:USDT,2025-02-13,696.74,long,2,2025-02-13,668.8704,SL,0,-4.22,-8.44,-16953.18
ATH/USDT:USDT,2025-02-14,0.03806,short,2,2025-02-14,0.0395824,SL,0,-4.22,-8.44,-16667.01
ATH/USDT:USDT,2025-03-14,0.03634,long,2,2025-03-15,0.0348864,SL,1,-4.22,-8.44,-16385.67
BNT/USDT:USDT,2025-04-19,0.3717,short,2,2025-04-19,0.38656799999999997,SL,0,-4.22,-8.44,-16109.08
BSV/USDT:USDT,2025-04-20,28.8,short,2,2025-04-22,29.952,SL,2,-4.22,-8.44,-15837.16
1000BTT/USDT:USDT,2025-04-21,0.0006048,short,2,2025-04-22,0.000628992,SL,1,-4.22,-8.44,-15837.16
1000BTT/USDT:USDT,2025-05-06,0.0007078,long,2,2025-05-06,0.0006794879999999999,SL,0,-4.22,-8.44,-15302.5
BICO/USDT:USDT,2025-08-07,0.105,short,2,2025-08-07,0.1092,SL,0,-4.22,-8.44,-15044.19
AIO/USDT:USDT,2025-10-19,0.15004,long,2,2025-10-19,0.16504400000000002,TP,0,9.78,19.56,34276.92
C/USDT:USDT,2025-10-20,0.1176,short,2,2025-10-20,0.122304,SL,0,-4.22,-8.44,-15368.84
AUCTION/USDT:USDT,2025-10-21,9.758,short,2,2025-10-21,8.7822,TP,0,9.78,19.56,35016.61
AUCTION/USDT:USDT,2025-10-22,7.747,long,2,2025-10-22,8.521700000000001,TP,0,9.78,19.56,36386.46
ATA/USDT:USDT,2025-10-23,0.02865,short,2,2025-10-23,0.029796,SL,0,-4.22,-8.44,-16314.7
BNB/USDT:USDT,2025-10-26,1116.36,short,2,2025-10-27,1161.0144,SL,1,-4.22,-8.44,-16039.31
BDXN/USDT:USDT,2025-10-28,0.03383,long,2,2025-10-28,0.0324768,SL,0,-4.22,-8.44,-15768.56
ATA/USDT:USDT,2025-10-25,0.02996,short,2,2025-10-29,0.026964000000000002,TP,4,9.78,19.56,37171.66
BANANAS31/USDT:USDT,2025-11-26,0.003548,long,2,2025-11-26,0.0039028,TP,0,9.78,19.56,37381.49
ANIME/USDT:USDT,2025-12-04,0.006534,short,2,2025-12-04,0.00679536,SL,0,-4.22,-8.44,-16760.85
A/USDT:USDT,2026-01-29,0.1101,short,2,2026-01-29,0.09909000000000001,TP,0,9.78,19.56,38188.17
