symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
SFP/USDT:USDT,2024-01-17,0.7561,long,2,2024-01-18,0.725856,SL,1,-4.22,-8.44,-16880.0
ORDI/USDT:USDT,2024-01-18,72.255,long,2,2024-01-18,69.36479999999999,SL,0,-4.22,-8.44,-16880.0
BTC/USDT:USDT,2024-01-15,41739.6,long,2,2024-01-20,41691.8,TIMEOUT,5,-0.33,-0.67,-1338.08
CORE/USDT:USDT,2024-01-19,0.5111,long,2,2024-01-22,0.490656,SL,3,-4.22,-8.44,-16310.13
ORBS/USDT:USDT,2024-01-28,0.03648,long,2,2024-01-29,0.0350208,SL,1,-4.22,-8.44,-16012.23
CORE/USDT:USDT,2024-01-26,0.4904,long,2,2024-01-31,0.470784,SL,5,-4.22,-8.44,-16012.23
ORBS/USDT:USDT,2024-01-31,0.03532,long,2,2024-01-31,0.0339072,SL,0,-4.22,-8.44,-15741.94
REQ/USDT:USDT,2024-02-08,0.08455,long,2,2024-02-09,0.093005,TP,1,9.78,19.56,35240.29
ARPA/USDT:USDT,2024-04-29,0.06914,long,2,2024-04-29,0.06637439999999999,SL,0,-4.22,-8.44,-15800.79
CFX/USDT:USDT,2024-05-03,0.223,long,2,2024-05-07,0.21408,SL,4,-4.22,-8.44,-15534.07
FTT/USDT:USDT,2024-06-27,1.4,long,2,2024-07-02,1.41,TIMEOUT,5,0.49,0.99,1788.78
CORE/USDT:USDT,2024-06-29,1.3106,long,2,2024-07-03,1.258176,SL,4,-4.22,-8.44,-15271.86
ORDI/USDT:USDT,2024-07-02,38.174,long,2,2024-07-03,36.64704,SL,1,-4.22,-8.44,-15271.86
ORDI/USDT:USDT,2024-07-04,35.91,long,2,2024-07-04,34.4736,SL,0,-4.22,-8.44,-14786.47
JUP/USDT:USDT,2024-07-07,0.7977,long,2,2024-07-07,0.7657919999999999,SL,0,-4.22,-8.44,-14536.88
MEW/USDT:USDT,2024-07-10,0.003511,long,2,2024-07-11,0.00337056,SL,1,-4.22,-8.44,-14291.49
BTC/USDT:USDT,2024-07-08,55830.9,long,2,2024-07-13,59174.0,TIMEOUT,5,5.77,11.54,19533.64
GODS/USDT:USDT,2024-07-16,0.1774,long,2,2024-07-16,0.19514,TP,0,9.78,19.56,33326.12
FTT/USDT:USDT,2024-07-17,1.621,long,2,2024-07-17,1.55616,SL,0,-4.22,-8.44,-14942.53
ORBS/USDT:USDT,2024-08-10,0.02781,long,2,2024-08-10,0.030591000000000004,TP,0,9.78,19.56,34045.29
BAT/USDT:USDT,2024-08-08,0.1544,long,2,2024-08-13,0.16984000000000002,TP,5,9.78,19.56,34045.29
ORBS/USDT:USDT,2024-08-14,0.02768,long,2,2024-08-15,0.026572799999999997,SL,1,-4.22,-8.44,-15839.67
BRETT/USDT:USDT,2024-08-19,0.0771,long,2,2024-08-19,0.074016,SL,0,-4.22,-8.44,-15572.29
LUNC/USDT:USDT,2024-08-21,7.926e-05,long,2,2024-08-23,8.7186e-05,TP,2,9.78,19.56,35480.15
FTT/USDT:USDT,2024-08-25,1.504,long,2,2024-08-26,1.44384,SL,1,-4.22,-8.44,-15908.34
BTC/USDT:USDT,2024-08-26,64190.2,long,2,2024-08-27,61622.592,SL,1,-4.22,-8.44,-15908.34
1000BTT/USDT:USDT,2024-09-04,0.0007993,long,2,2024-09-04,0.000767328,SL,0,-4.22,-8.44,-15371.27
ARB/USDT:USDT,2024-09-06,0.497,long,2,2024-09-06,0.47712,SL,0,-4.22,-8.44,-15111.8
AXL/USDT:USDT,2024-09-11,0.5065,long,2,2024-09-11,0.48623999999999995,SL,0,-4.22,-8.44,-14856.72
ARPA/USDT:USDT,2024-09-15,0.04067,long,2,2024-09-15,0.03904319999999999,SL,0,-4.22,-8.44,-14605.94
STRK/USDT:USDT,2024-09-21,0.4022,long,2,2024-09-22,0.386112,SL,1,-4.22,-8.44,-14359.39
ARPA/USDT:USDT,2024-09-22,0.04388,long,2,2024-09-22,0.042124800000000004,SL,0,-4.22,-8.44,-14359.39
SANTOS/USDT:USDT,2024-09-23,2.659,long,2,2024-09-28,2.9249,TP,5,9.78,19.56,32154.91
AI/USDT:USDT,2024-09-28,0.5412,long,2,2024-09-28,0.519552,SL,0,-4.22,-8.44,-13874.61
MASK/USDT:USDT,2024-09-26,2.285,long,2,2024-10-01,2.352,TIMEOUT,5,2.71,5.42,8917.12
BTC/USDT:USDT,2024-10-06,62023.1,long,2,2024-10-10,59542.176,SL,4,-4.22,-8.44,-14333.71
ORBS/USDT:USDT,2024-10-13,0.03075,long,2,2024-10-15,0.029519999999999998,SL,2,-4.22,-8.44,-14091.75
MASK/USDT:USDT,2024-10-16,2.322,long,2,2024-10-17,2.22912,SL,1,-4.22,-8.44,-13853.89
MELANIA/USDT:USDT,2025-02-10,1.455,long,2,2025-02-11,1.3968,SL,1,-4.22,-8.44,-13620.03
DUSK/USDT:USDT,2025-02-13,0.13214,long,2,2025-02-13,0.1268544,SL,0,-4.22,-8.44,-13390.13
