symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
AGI/USDT:USDT,2024-02-14,0.05639,short,2,2024-02-14,0.059209500000000005,SL,0,-5.22,-10.44,-15660.0
AGI/USDT:USDT,2024-02-15,0.06193,short,2,2024-02-15,0.0650265,SL,0,-5.22,-10.44,-15414.76
AGI/USDT:USDT,2024-02-16,0.07269,short,2,2024-02-16,0.0763245,SL,0,-5.22,-10.44,-15173.37
AI/USDT:USDT,2024-02-19,1.807,short,2,2024-02-19,1.89735,SL,0,-5.22,-10.44,-14935.75
AI/USDT:USDT,2024-02-23,1.757,short,2,2024-02-24,1.5813,TP,1,9.78,19.56,27544.86
ALT/USDT:USDT,2024-02-27,0.49062,short,2,2024-02-27,0.515151,SL,0,-5.22,-10.44,-15133.21
ALT/USDT:USDT,2024-02-28,0.53384,short,2,2024-02-28,0.480456,TP,0,9.78,19.56,27909.02
BB/USDT:USDT,2024-05-30,0.6047,short,2,2024-05-30,0.634935,SL,0,-5.22,-10.44,-15333.28
BB/USDT:USDT,2024-06-01,0.6124,short,2,2024-06-01,0.64302,SL,0,-5.22,-10.44,-15093.16
BB/USDT:USDT,2024-06-02,0.7223,short,2,2024-06-02,0.7584150000000001,SL,0,-5.22,-10.44,-14856.8
BB/USDT:USDT,2024-06-06,0.8517,short,2,2024-06-06,0.76653,TP,0,9.78,19.56,27399.26
BRETT/USDT:USDT,2024-06-12,0.1544,short,2,2024-06-12,0.16212000000000001,SL,0,-5.22,-10.44,-15053.22
BB/USDT:USDT,2024-07-21,0.4771,short,2,2024-07-21,0.500955,SL,0,-5.22,-10.44,-14817.49
CAT/USDT:USDT,2024-09-21,4.108e-05,short,2,2024-09-21,4.3134000000000004e-05,SL,0,-5.22,-10.44,-14585.44
FET/USDT:USDT,2024-09-24,1.6447,short,2,2024-09-24,1.726935,SL,0,-5.22,-10.44,-14357.04
CAT/USDT:USDT,2024-09-26,3.795e-05,short,2,2024-09-26,3.98475e-05,SL,0,-5.22,-10.44,-12012.37
FET/USDT:USDT,2024-09-25,1.7029,short,2,2024-09-30,1.53261,TP,5,9.78,19.56,26477.58
AERO/USDT:USDT,2024-10-02,1.06,short,2,2024-10-04,1.1130000000000002,SL,2,-5.22,-10.44,-14358.73
DIA/USDT:USDT,2024-10-25,1.1012,short,2,2024-10-25,1.15626,SL,0,-5.22,-10.44,-14133.87
DEGO/USDT:USDT,2024-12-07,3.333,short,2,2024-12-07,3.4996500000000004,SL,0,-5.22,-10.44,-13912.54
DEGO/USDT:USDT,2024-12-08,3.45,short,2,2024-12-09,3.1050000000000004,TP,1,9.78,19.56,25657.82
AIXBT/USDT:USDT,2025-01-04,0.5172,short,2,2025-01-05,0.54306,SL,1,-5.22,-10.44,-14096.47
AIXBT/USDT:USDT,2025-01-06,0.4929,short,2,2025-01-06,0.517545,SL,0,-5.22,-10.44,-13875.72
AIXBT/USDT:USDT,2025-01-07,0.5503,short,2,2025-01-07,0.49527000000000004,TP,0,9.78,19.56,25589.92
GIGA/USDT:USDT,2025-01-08,0.08247,short,2,2025-01-08,0.074223,TP,0,9.78,19.56,26340.73
DEEP/USDT:USDT,2025-01-10,0.14282,short,2,2025-01-10,0.149961,SL,0,-5.22,-10.44,-14471.66
ACS/USDT:USDT,2025-01-15,0.003042,short,2,2025-01-16,0.0031941,SL,1,-5.22,-10.44,-14245.03
ACS/USDT:USDT,2025-01-17,0.003126,short,2,2025-01-17,0.0032823,SL,0,-5.22,-10.44,-14021.95
ACS/USDT:USDT,2025-01-18,0.003436,short,2,2025-01-19,0.0030924,TP,1,9.78,19.56,25859.61
GPS/USDT:USDT,2025-02-04,0.17854,short,2,2025-02-05,0.160686,TP,1,9.78,19.56,26618.33
FHE/USDT:USDT,2025-04-27,0.09335,short,2,2025-04-27,0.084015,TP,0,9.78,19.56,27399.31
B3/USDT:USDT,2025-04-29,0.005452,short,2,2025-04-30,0.0049068,TP,1,9.78,19.56,28203.21
BMT/USDT:USDT,2025-05-02,0.1309,short,2,2025-05-02,0.13744499999999998,SL,0,-5.22,-10.44,-15494.91
BMT/USDT:USDT,2025-05-03,0.1389,short,2,2025-05-03,0.145845,SL,0,-5.22,-10.44,-15252.26
B3/USDT:USDT,2025-05-05,0.004976,short,2,2025-05-06,0.0044784000000000004,TP,1,9.78,19.56,28128.57
AIOT/USDT:USDT,2025-05-13,0.4034,short,2,2025-05-15,0.36306,TP,2,9.78,19.56,28953.86
BANK/USDT:USDT,2025-05-14,0.07675,short,2,2025-05-17,0.069075,TP,3,9.78,19.56,24610.78
BANK/USDT:USDT,2025-05-18,0.06335,short,2,2025-05-18,0.06651750000000001,SL,0,-5.22,-10.44,-14202.18
BANK/USDT:USDT,2025-05-19,0.06925,short,2,2025-05-21,0.07271250000000001,SL,2,-5.22,-10.44,-13979.78
AIOT/USDT:USDT,2025-05-17,0.3735,short,2,2025-05-22,0.36044,TIMEOUT,5,3.28,6.55,8748.38
BANK/USDT:USDT,2025-07-03,0.05872,short,2,2025-07-03,0.061656,SL,0,-5.22,-10.44,-15988.39
BANK/USDT:USDT,2025-07-04,0.0698,short,2,2025-07-08,0.06282,TP,4,9.78,19.56,29486.17
DOLO/USDT:USDT,2025-07-18,0.06167,short,2,2025-07-18,0.0647535,SL,0,-5.22,-10.44,-16199.77
DOLO/USDT:USDT,2025-07-19,0.05876,short,2,2025-07-20,0.061698,SL,1,-5.22,-10.44,-15946.08
CROSS/USDT:USDT,2025-07-21,0.36857,short,2,2025-07-21,0.33171300000000004,TP,0,9.78,19.56,29408.13
CROSS/USDT:USDT,2025-07-22,0.34896,short,2,2025-07-22,0.314064,TP,0,9.78,19.56,30270.97
CROSS/USDT:USDT,2025-07-23,0.32328,short,2,2025-07-23,0.339444,SL,0,-5.22,-10.44,-16630.94
CROSS/USDT:USDT,2025-07-24,0.3456,short,2,2025-07-24,0.31104000000000004,TP,0,9.78,19.56,30671.17
CROSS/USDT:USDT,2025-07-25,0.28302,short,2,2025-07-25,0.297171,SL,0,-5.22,-10.44,-16850.81
ESPORTS/USDT:USDT,2025-08-05,0.1202,short,2,2025-08-05,0.12621000000000002,SL,0,-5.22,-10.44,-16586.93
ARIA/USDT:USDT,2025-09-11,0.10347,short,2,2025-09-11,0.10864350000000002,SL,0,-5.22,-10.44,-16327.18
ARIA/USDT:USDT,2025-09-12,0.12225,short,2,2025-09-12,0.1283625,SL,0,-5.22,-10.44,-16071.49
ESPORTS/USDT:USDT,2025-09-13,0.1403,short,2,2025-09-14,0.147315,SL,1,-5.22,-10.44,-15819.81
AVNT/USDT:USDT,2025-09-25,2.2068,short,2,2025-09-25,1.9861199999999999,TP,0,9.78,19.56,29175.26
AVNT/USDT:USDT,2025-09-26,1.5888,short,2,2025-09-26,1.6682400000000002,SL,0,-5.22,-10.44,-16028.96
