symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ENA/USDT:USDT,2024-06-26,0.5725,long,2,2024-06-28,0.5324249999999999,SL,2,-7.22,-14.44,-14440.0
DRIFT/USDT:USDT,2024-08-06,0.2228,long,2,2024-08-06,0.25622,TP,0,14.78,29.56,29133.15
BLAST/USDT:USDT,2024-08-07,0.00911,long,2,2024-08-09,0.0104765,TP,2,14.78,29.56,29994.33
COS/USDT:USDT,2024-08-08,0.00601,long,2,2024-08-14,0.006911499999999999,TP,6,14.78,29.56,26994.9
BLAST/USDT:USDT,2024-09-07,0.008002,long,2,2024-09-13,0.0092023,TP,6,14.78,29.56,31678.93
B3/USDT:USDT,2025-02-28,0.005885,long,2,2025-02-28,0.005473049999999999,SL,0,-7.22,-14.44,-14339.28
CGPT/USDT:USDT,2025-02-26,0.1271,long,2,2025-03-03,0.11820299999999999,SL,5,-7.22,-14.44,-15932.54
B3/USDT:USDT,2025-03-05,0.005198,long,2,2025-03-05,0.00483414,SL,0,-7.22,-14.44,-15495.41
ACX/USDT:USDT,2025-03-06,0.2551,long,2,2025-03-07,0.23724299999999998,SL,1,-7.22,-14.44,-15271.66
FLOCK/USDT:USDT,2025-03-08,0.0691,long,2,2025-03-09,0.06426299999999999,SL,1,-7.22,-14.44,-15051.14
GPS/USDT:USDT,2025-03-09,0.0452,long,2,2025-03-09,0.05197999999999999,TP,0,14.78,29.56,27729.95
B3/USDT:USDT,2025-03-10,0.006375,long,2,2025-03-10,0.007331249999999999,TP,0,14.78,29.56,31185.84
GPS/USDT:USDT,2025-03-11,0.0376,long,2,2025-03-11,0.034968,SL,0,-7.22,-14.44,-15684.54
GPS/USDT:USDT,2025-03-17,0.0371,long,2,2025-03-18,0.034503,SL,1,-7.22,-14.44,-12521.03
D/USDT:USDT,2025-03-18,0.06163,long,2,2025-03-18,0.057315899999999996,SL,0,-7.22,-14.44,-11268.92
ANIME/USDT:USDT,2025-03-12,0.0176,long,2,2025-03-19,0.0185,TIMEOUT,7,4.89,9.79,10477.3
BIO/USDT:USDT,2025-03-15,0.0854,long,2,2025-03-21,0.07942199999999999,SL,6,-7.22,-14.44,-13912.25
GPS/USDT:USDT,2025-03-23,0.0312,long,2,2025-03-23,0.035879999999999995,TP,0,14.78,29.56,30839.29
GPS/USDT:USDT,2025-04-04,0.0229,long,2,2025-04-06,0.021297,SL,2,-7.22,-14.44,-15510.25
BMT/USDT:USDT,2025-04-07,0.0874,long,2,2025-04-07,0.081282,SL,0,-7.22,-14.44,-15286.28
ANIME/USDT:USDT,2025-04-08,0.0137,long,2,2025-04-09,0.012740999999999999,SL,1,-7.22,-14.44,-15065.55
B3/USDT:USDT,2025-04-10,0.00372,long,2,2025-04-10,0.0034596,SL,0,-7.22,-14.44,-13492.1
BR/USDT:USDT,2025-04-11,0.0681,long,2,2025-04-11,0.06333299999999999,SL,0,-7.22,-14.44,-13297.27
D/USDT:USDT,2025-04-09,0.03765,long,2,2025-04-12,0.0432975,TP,3,14.78,29.56,27756.5
BMT/USDT:USDT,2025-04-12,0.0879,long,2,2025-04-14,0.081747,SL,2,-7.22,-14.44,-13105.26
GPS/USDT:USDT,2025-04-15,0.0175,long,2,2025-04-17,0.016275,SL,2,-7.22,-14.44,-14672.73
BR/USDT:USDT,2025-04-20,0.0436,long,2,2025-04-20,0.05014,TP,0,14.78,29.56,24466.46
B3/USDT:USDT,2025-04-16,0.003284,long,2,2025-04-21,0.0037765999999999997,TP,5,14.78,29.56,27032.77
BMT/USDT:USDT,2025-04-17,0.0764,long,2,2025-04-23,0.08786,TP,6,14.78,29.56,24329.49
AVNT/USDT:USDT,2025-10-12,0.6007,long,2,2025-10-12,0.690805,TP,0,14.78,29.56,31844.18
BSU/USDT:USDT,2025-10-18,0.19073,long,2,2025-10-18,0.2193395,TP,0,14.78,29.56,32785.49
AVNT/USDT:USDT,2025-10-22,0.5993,long,2,2025-10-24,0.689195,TP,2,14.78,29.56,30379.17
0G/USDT:USDT,2025-10-23,1.7991,long,2,2025-10-27,1.6731629999999997,SL,4,-7.22,-14.44,-13356.15
BARD/USDT:USDT,2025-10-21,0.652,long,2,2025-10-28,0.642,TIMEOUT,7,-1.75,-3.51,-4005.21
0G/USDT:USDT,2025-11-01,1.0885,long,2,2025-11-02,1.012305,SL,1,-7.22,-14.44,-16677.05
0G/USDT:USDT,2025-11-05,1.1672,long,2,2025-11-05,1.085496,SL,0,-7.22,-14.44,-16436.23
COAI/USDT:USDT,2025-11-08,1.2225,long,2,2025-11-08,1.1369249999999997,SL,0,-7.22,-14.44,-16198.89
0G/USDT:USDT,2025-11-09,1.4869,long,2,2025-11-09,1.709935,TP,0,14.78,29.56,32681.77
DAM/USDT:USDT,2025-11-10,0.03031,long,2,2025-11-13,0.0281883,SL,3,-7.22,-14.44,-16436.9
BAS/USDT:USDT,2025-11-12,0.00757,long,2,2025-11-13,0.0070401,SL,1,-7.22,-14.44,-13313.89
EVAA/USDT:USDT,2025-11-11,1.59,long,2,2025-11-14,1.8285,TP,3,14.78,29.56,30283.06
ARIA/USDT:USDT,2025-11-14,0.10165,long,2,2025-11-15,0.0945345,SL,1,-7.22,-14.44,-14527.98
EUL/USDT:USDT,2025-11-15,4.79,long,2,2025-11-16,4.4547,SL,1,-7.22,-14.44,-14991.79
EVAA/USDT:USDT,2025-11-16,1.389,long,2,2025-11-16,1.5973499999999998,TP,0,14.78,29.56,30165.18
ARIA/USDT:USDT,2025-11-17,0.09508,long,2,2025-11-18,0.08842439999999999,SL,1,-7.22,-14.44,-16453.91
EVAA/USDT:USDT,2025-11-18,1.284,long,2,2025-11-19,1.1941199999999998,SL,1,-7.22,-14.44,-14808.52
BAS/USDT:USDT,2025-11-19,0.00621,long,2,2025-11-19,0.007141499999999999,TP,0,14.78,29.56,30164.84
ARIA/USDT:USDT,2025-11-20,0.08395,long,2,2025-11-20,0.09654249999999999,TP,0,14.78,29.56,33650.21
BLESS/USDT:USDT,2025-11-24,0.01476,long,2,2025-11-24,0.016974,TP,0,14.78,29.56,34644.91
4/USDT:USDT,2025-11-25,0.03492,long,2,2025-11-26,0.0324756,SL,1,-7.22,-14.44,-17424.24
COAI/USDT:USDT,2025-11-27,0.5391,long,2,2025-11-29,0.619965,TP,2,14.78,29.56,31943.75
AVNT/USDT:USDT,2025-11-29,0.3913,long,2,2025-12-01,0.363909,SL,2,-7.22,-14.44,-14044.01
COAI/USDT:USDT,2025-12-01,0.5553,long,2,2025-12-01,0.516429,SL,0,-7.22,-14.44,-14661.32
BARD/USDT:USDT,2025-11-26,0.73,long,2,2025-12-03,0.8394999999999999,TP,7,14.78,29.56,32102.12
APR/USDT:USDT,2025-12-05,0.13586,long,2,2025-12-05,0.1263498,SL,0,-7.22,-14.44,-14709.22
AVNT/USDT:USDT,2025-12-03,0.3404,long,2,2025-12-07,0.31657199999999996,SL,4,-7.22,-14.44,-14086.1
APEX/USDT:USDT,2025-12-02,0.533,long,2,2025-12-09,0.538,TIMEOUT,7,0.72,1.44,1556.64
0G/USDT:USDT,2025-12-09,0.9942,long,2,2025-12-11,0.9246059999999999,SL,2,-7.22,-14.44,-15702.03
0G/USDT:USDT,2025-12-12,0.9321,long,2,2025-12-15,0.866853,SL,3,-7.22,-14.44,-17062.89
0G/USDT:USDT,2025-12-16,0.8584,long,2,2025-12-17,0.798312,SL,1,-7.22,-14.44,-16816.5
4/USDT:USDT,2025-12-19,0.01649,long,2,2025-12-20,0.0189635,TP,1,14.78,29.56,33927.82
2Z/USDT:USDT,2025-12-23,0.11015,long,2,2025-12-26,0.1266725,TP,3,14.78,29.56,31877.22
BLESS/USDT:USDT,2025-12-20,0.01084,long,2,2025-12-27,0.01165,TIMEOUT,7,7.25,14.5,14983.09
APEX/USDT:USDT,2025-12-24,0.4458,long,2,2025-12-27,0.51267,TP,3,14.78,29.56,28689.5
GAIB/USDT:USDT,2026-01-02,0.02846,long,2,2026-01-02,0.026467799999999996,SL,0,-7.22,-14.44,-18154.53
FOLKS/USDT:USDT,2026-01-21,2.362,long,2,2026-01-25,2.19666,SL,4,-7.22,-14.44,-17892.38
ALLO/USDT:USDT,2026-01-25,0.0924,long,2,2026-01-25,0.085932,SL,0,-7.22,-14.44,-16103.14
FOLKS/USDT:USDT,2026-01-27,2.508,long,2,2026-01-27,2.33244,SL,0,-7.22,-14.44,-17401.48
BREV/USDT:USDT,2026-01-29,0.2106,long,2,2026-01-29,0.195858,SL,0,-7.22,-14.44,-17150.2
CYS/USDT:USDT,2026-01-30,0.2003,long,2,2026-01-30,0.186279,SL,0,-7.22,-14.44,-16902.56
CYS/USDT:USDT,2026-01-31,0.1948,long,2,2026-01-31,0.22402,TP,0,14.78,29.56,34101.44
ELIZAOS/USDT:USDT,2026-02-03,0.001944,long,2,2026-02-03,0.00180792,SL,0,-7.22,-14.44,-15435.82
COLLECT/USDT:USDT,2026-02-04,0.03186,long,2,2026-02-04,0.036639,TP,0,14.78,29.56,31142.24
FOLKS/USDT:USDT,2026-02-02,1.491,long,2,2026-02-05,1.38663,SL,3,-7.22,-14.44,-17150.91
COLLECT/USDT:USDT,2026-02-06,0.043,long,2,2026-02-06,0.049449999999999994,TP,0,14.78,29.56,35066.78
BREV/USDT:USDT,2026-02-07,0.146,long,2,2026-02-07,0.16789999999999997,TP,0,14.78,29.56,36103.35
CLAWNCH/USDT:USDT,2026-03-02,5.232e-05,long,2,2026-03-01,5.232e-05,TIMEOUT,-1,-0.22,-0.44,-553.28
