symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ENA/USDT:USDT,2024-06-30,0.4886,long,2,2024-06-30,0.527688,TP,0,7.78,15.56,15560.0
ENA/USDT:USDT,2024-07-01,0.5321,long,2,2024-07-01,0.510816,SL,0,-4.22,-8.44,-8571.33
BRETT/USDT:USDT,2024-07-13,0.1111,long,2,2024-07-14,0.11998800000000001,TP,1,7.78,15.56,15668.74
BRETT/USDT:USDT,2024-07-15,0.1178,long,2,2024-07-15,0.127224,TP,0,7.78,15.56,15912.55
FET/USDT:USDT,2024-08-11,0.8981,long,2,2024-08-11,0.8621759999999999,SL,0,-4.22,-8.44,-8765.53
FET/USDT:USDT,2024-08-13,0.8617,long,2,2024-08-13,0.827232,SL,0,-4.22,-8.44,-8691.55
DRIFT/USDT:USDT,2024-08-18,0.3192,long,2,2024-08-19,0.344736,TP,1,7.78,15.56,14299.66
DRIFT/USDT:USDT,2024-08-20,0.3796,long,2,2024-08-20,0.409968,TP,0,7.78,15.56,14522.17
AIOZ/USDT:USDT,2024-08-16,0.4265,long,2,2024-08-21,0.4389,TIMEOUT,5,2.69,5.37,5488.25
CAT/USDT:USDT,2024-10-02,3.001e-05,long,2,2024-10-02,2.88096e-05,SL,0,-4.22,-8.44,-8907.77
CAT/USDT:USDT,2024-10-03,2.937e-05,long,2,2024-10-03,2.8195199999999997e-05,SL,0,-4.22,-8.44,-8832.59
ALCH/USDT:USDT,2025-02-13,0.024,long,2,2025-02-13,0.023039999999999998,SL,0,-4.22,-8.44,-8758.04
ALCH/USDT:USDT,2025-02-14,0.0232,long,2,2025-02-14,0.025056,TP,0,7.78,15.56,16010.07
ALCH/USDT:USDT,2025-02-15,0.0223,long,2,2025-02-15,0.021408,SL,0,-4.22,-8.44,-8819.25
ALCH/USDT:USDT,2025-02-16,0.0188,long,2,2025-02-17,0.018048,SL,1,-4.22,-8.44,-8744.81
ALCH/USDT:USDT,2025-02-23,0.0201,long,2,2025-02-23,0.019296,SL,0,-4.22,-8.44,-8671.01
FLOCK/USDT:USDT,2025-02-24,0.1122,long,2,2025-02-24,0.121176,TP,0,7.78,15.56,15850.97
ALCH/USDT:USDT,2025-02-25,0.0148,long,2,2025-02-25,0.015984,TP,0,7.78,15.56,16097.61
FLOCK/USDT:USDT,2025-02-26,0.0909,long,2,2025-02-26,0.087264,SL,0,-4.22,-8.44,-8867.47
AVL/USDT:USDT,2025-03-19,0.4191,long,2,2025-03-19,0.40233599999999997,SL,0,-4.22,-8.44,-8792.63
AVL/USDT:USDT,2025-03-21,0.387,long,2,2025-03-21,0.41796000000000005,TP,0,7.78,15.56,16073.29
COOKIE/USDT:USDT,2025-03-22,0.1281,long,2,2025-03-24,0.138348,TP,2,7.78,15.56,16323.39
COOKIE/USDT:USDT,2025-03-25,0.1365,long,2,2025-03-26,0.13104000000000002,SL,1,-4.22,-8.44,-8991.85
BMT/USDT:USDT,2025-04-15,0.082,long,2,2025-04-15,0.08856000000000001,TP,0,7.78,15.56,16437.47
BMT/USDT:USDT,2025-04-16,0.0789,long,2,2025-04-17,0.07574399999999999,SL,1,-4.22,-8.44,-9054.69
AVL/USDT:USDT,2025-04-21,0.2311,long,2,2025-04-22,0.221856,SL,1,-4.22,-8.44,-8978.27
ANIME/USDT:USDT,2025-04-23,0.01745,long,2,2025-04-25,0.018846,TP,2,7.78,15.56,16412.65
DAM/USDT:USDT,2025-10-14,0.04545,long,2,2025-10-14,0.043632,SL,0,-4.22,-8.44,-9041.01
DAM/USDT:USDT,2025-10-15,0.0417,long,2,2025-10-15,0.04503600000000001,TP,0,7.78,15.56,16527.35
DAM/USDT:USDT,2025-10-16,0.04549,long,2,2025-10-16,0.049129200000000005,TP,0,7.78,15.56,16784.52
DAM/USDT:USDT,2025-10-17,0.05831,long,2,2025-10-17,0.055977599999999995,SL,0,-4.22,-8.44,-9245.86
