symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
CAKE/USDT:USDT,2025-03-17,1.7794,short,10,2025-03-17,1.7882969999999998,SL,0,-0.72,-7.2,-21600.0
DBR/USDT:USDT,2025-03-18,0.03255,short,10,2025-03-18,0.03206175,TP,0,1.28,12.8,37570.56
DBR/USDT:USDT,2025-03-20,0.03033,short,10,2025-03-20,0.02987505,TP,0,1.28,12.8,39013.27
ACX/USDT:USDT,2025-03-23,0.2943,short,10,2025-03-23,0.2898855,TP,0,1.28,12.8,40511.38
ACX/USDT:USDT,2025-03-24,0.3022,short,10,2025-03-24,0.297667,TP,0,1.28,12.8,42067.02
CHEEMS/USDT:USDT,2025-03-27,1.8044e-06,short,10,2025-03-27,1.777334e-06,TP,0,1.28,12.8,43682.39
ATA/USDT:USDT,2025-03-28,0.0653,short,10,2025-03-28,0.0643205,TP,0,1.28,12.8,45359.79
DUSK/USDT:USDT,2025-03-30,0.07567,long,10,2025-03-30,0.07680505,TP,0,1.28,12.8,47101.61
DIA/USDT:USDT,2025-03-31,0.3522,long,10,2025-03-31,0.350439,SL,0,-0.72,-7.2,-27512.05
CELO/USDT:USDT,2025-04-01,0.329,long,10,2025-04-01,0.333935,TP,0,1.28,12.8,47853.85
ALPINE/USDT:USDT,2025-04-07,0.667,long,10,2025-04-07,0.677005,TP,0,1.28,12.8,49691.44
ARK/USDT:USDT,2025-04-08,0.3041,short,10,2025-04-08,0.30562049999999996,SL,0,-0.72,-7.2,-29024.77
BAN/USDT:USDT,2025-04-10,0.033,long,10,2025-04-10,0.032835,SL,0,-0.72,-7.2,-28397.83
BAN/USDT:USDT,2025-04-11,0.0322,long,10,2025-04-11,0.032683,TP,0,1.28,12.8,49394.56
DEGO/USDT:USDT,2025-04-16,1.8815,short,10,2025-04-16,1.8909074999999997,SL,0,-0.72,-7.2,-28851.36
ANKR/USDT:USDT,2025-04-20,0.01876,short,10,2025-04-20,0.018478599999999998,TP,0,1.28,12.8,50183.42
ACE/USDT:USDT,2025-04-22,0.6582,short,10,2025-04-22,0.648327,TP,0,1.28,12.8,52110.46
ACE/USDT:USDT,2025-04-23,0.6384,short,10,2025-04-23,0.6288239999999999,TP,0,1.28,12.8,54111.5
AUDIO/USDT:USDT,2025-04-24,0.07505,short,10,2025-04-24,0.07392425000000001,TP,0,1.28,12.8,56189.39
CAT/USDT:USDT,2025-04-25,6.88e-06,short,10,2025-04-25,6.7768e-06,TP,0,1.28,12.8,58347.06
B3/USDT:USDT,2025-04-26,0.005013,short,10,2025-04-26,0.004937805,TP,0,1.28,12.8,60587.58
BSV/USDT:USDT,2025-04-27,41.15,short,10,2025-04-27,40.53275,TP,0,1.28,12.8,62914.15
1000BTT/USDT:USDT,2025-04-28,0.0007248,short,10,2025-04-28,0.0007139280000000001,TP,0,1.28,12.8,64000.0
CSPR/USDT:USDT,2025-04-29,0.014902,short,10,2025-04-29,0.01467847,TP,0,1.28,12.8,64000.0
CSPR/USDT:USDT,2025-04-30,0.013762,short,10,2025-04-30,0.01355557,TP,0,1.28,12.8,64000.0
AKT/USDT:USDT,2025-05-03,1.645,short,10,2025-05-03,1.620325,TP,0,1.28,12.8,64000.0
CITY/USDT:USDT,2025-05-05,1.102,short,10,2025-05-05,1.0854700000000002,TP,0,1.28,12.8,64000.0
ASR/USDT:USDT,2025-05-06,1.342,short,10,2025-05-06,1.3487099999999999,SL,0,-0.72,-7.2,-36000.0
AMP/USDT:USDT,2025-05-07,0.003976,long,10,2025-05-07,0.00403564,TP,0,1.28,12.8,64000.0
FIDA/USDT:USDT,2025-05-08,0.05739,long,10,2025-05-08,0.05825084999999999,TP,0,1.28,12.8,64000.0
BAN/USDT:USDT,2025-05-09,0.06549,short,10,2025-05-09,0.06450765,TP,0,1.28,12.8,64000.0
AUCTION/USDT:USDT,2025-05-12,13.24,short,10,2025-05-12,13.0414,TP,0,1.28,12.8,64000.0
FIDA/USDT:USDT,2025-05-13,0.10478,short,10,2025-05-13,0.1032083,TP,0,1.28,12.8,64000.0
FIDA/USDT:USDT,2025-05-14,0.11108,short,10,2025-05-14,0.10941379999999999,TP,0,1.28,12.8,64000.0
CVC/USDT:USDT,2025-05-17,0.13041,short,10,2025-05-17,0.12845385,TP,0,1.28,12.8,64000.0
CVC/USDT:USDT,2025-05-18,0.11875,short,10,2025-05-18,0.11934374999999998,SL,0,-0.72,-7.2,-36000.0
B3/USDT:USDT,2025-05-20,0.005097,long,10,2025-05-20,0.0051734549999999995,TP,0,1.28,12.8,64000.0
COOKIE/USDT:USDT,2025-05-25,0.3006,short,10,2025-05-25,0.296091,TP,0,1.28,12.8,64000.0
B3/USDT:USDT,2025-05-30,0.003449,long,10,2025-05-30,0.003431755,SL,0,-0.72,-7.2,-36000.0
B3/USDT:USDT,2025-05-31,0.00312,long,10,2025-05-31,0.0031667999999999996,TP,0,1.28,12.8,64000.0
AIOT/USDT:USDT,2025-06-02,0.13349,long,10,2025-06-02,0.13549234999999998,TP,0,1.28,12.8,64000.0
