symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
CAKE/USDT:USDT,2025-03-17,1.7794,short,15,2025-03-17,1.7971940000000002,SL,0,-1.22,-18.3,-54900.0
DBR/USDT:USDT,2025-03-18,0.03255,short,15,2025-03-18,0.031573500000000004,TP,0,2.78,41.7,118232.01
DBR/USDT:USDT,2025-03-20,0.03033,short,15,2025-03-20,0.029420099999999998,TP,0,2.78,41.7,133022.83
ACX/USDT:USDT,2025-03-23,0.2943,short,15,2025-03-23,0.29724300000000003,SL,0,-1.22,-18.3,-65679.88
ACX/USDT:USDT,2025-03-24,0.3022,short,15,2025-03-24,0.30522200000000005,SL,0,-1.22,-18.3,-62074.06
CHEEMS/USDT:USDT,2025-03-27,1.8044e-06,short,15,2025-03-27,1.750268e-06,TP,0,2.78,41.7,133681.97
ATA/USDT:USDT,2025-03-28,0.0653,short,15,2025-03-28,0.063341,TP,0,2.78,41.7,150405.59
DUSK/USDT:USDT,2025-03-30,0.07567,long,15,2025-03-30,0.0779401,TP,0,2.78,41.7,169221.33
DIA/USDT:USDT,2025-03-31,0.3522,long,15,2025-03-31,0.348678,SL,0,-1.22,-18.3,-83552.85
CELO/USDT:USDT,2025-04-01,0.329,long,15,2025-04-01,0.33887,TP,0,2.78,41.7,179938.45
ALPINE/USDT:USDT,2025-04-07,0.667,long,15,2025-04-07,0.68701,TP,0,2.78,41.7,202448.75
ARK/USDT:USDT,2025-04-08,0.3041,short,15,2025-04-08,0.307141,SL,0,-1.22,-18.3,-91500.0
BAN/USDT:USDT,2025-04-10,0.033,long,15,2025-04-10,0.032670000000000005,SL,0,-1.22,-18.3,-91500.0
BAN/USDT:USDT,2025-04-11,0.0322,long,15,2025-04-11,0.033166,TP,0,2.78,41.7,204881.79
DEGO/USDT:USDT,2025-04-16,1.8815,short,15,2025-04-16,1.900315,SL,0,-1.22,-18.3,-91500.0
ANKR/USDT:USDT,2025-04-20,0.01876,short,15,2025-04-20,0.018197199999999997,TP,0,2.78,41.7,208500.0
ACE/USDT:USDT,2025-04-22,0.6582,short,15,2025-04-22,0.638454,TP,0,2.78,41.7,208500.0
ACE/USDT:USDT,2025-04-23,0.6384,short,15,2025-04-23,0.6192479999999999,TP,0,2.78,41.7,208500.0
AUDIO/USDT:USDT,2025-04-24,0.07505,short,15,2025-04-24,0.0727985,TP,0,2.78,41.7,208500.0
CAT/USDT:USDT,2025-04-25,6.88e-06,short,15,2025-04-25,6.6736e-06,TP,0,2.78,41.7,208500.0
B3/USDT:USDT,2025-04-26,0.005013,short,15,2025-04-26,0.00486261,TP,0,2.78,41.7,208500.0
BSV/USDT:USDT,2025-04-27,41.15,short,15,2025-04-27,41.5615,SL,0,-1.22,-18.3,-91500.0
1000BTT/USDT:USDT,2025-04-28,0.0007248,short,15,2025-04-28,0.0007030560000000001,TP,0,2.78,41.7,208500.0
CSPR/USDT:USDT,2025-04-29,0.014902,short,15,2025-04-29,0.01445494,TP,0,2.78,41.7,208500.0
CSPR/USDT:USDT,2025-04-30,0.013762,short,15,2025-04-30,0.013349139999999999,TP,0,2.78,41.7,208500.0
AKT/USDT:USDT,2025-05-03,1.645,short,15,2025-05-03,1.59565,TP,0,2.78,41.7,208500.0
CITY/USDT:USDT,2025-05-05,1.102,short,15,2025-05-05,1.06894,TP,0,2.78,41.7,208500.0
ASR/USDT:USDT,2025-05-06,1.342,short,15,2025-05-06,1.35542,SL,0,-1.22,-18.3,-91500.0
AMP/USDT:USDT,2025-05-07,0.003976,long,15,2025-05-08,0.004095280000000001,TP,1,2.78,41.7,208500.0
FIDA/USDT:USDT,2025-05-08,0.05739,long,15,2025-05-08,0.059111699999999996,TP,0,2.78,41.7,208500.0
BAN/USDT:USDT,2025-05-09,0.06549,short,15,2025-05-09,0.0635253,TP,0,2.78,41.7,208500.0
AUCTION/USDT:USDT,2025-05-12,13.24,short,15,2025-05-12,12.8428,TP,0,2.78,41.7,208500.0
FIDA/USDT:USDT,2025-05-13,0.10478,short,15,2025-05-13,0.1016366,TP,0,2.78,41.7,208500.0
FIDA/USDT:USDT,2025-05-14,0.11108,short,15,2025-05-14,0.1077476,TP,0,2.78,41.7,208500.0
CVC/USDT:USDT,2025-05-17,0.13041,short,15,2025-05-17,0.1264977,TP,0,2.78,41.7,208500.0
CVC/USDT:USDT,2025-05-18,0.11875,short,15,2025-05-18,0.11993749999999999,SL,0,-1.22,-18.3,-91500.0
B3/USDT:USDT,2025-05-20,0.005097,long,15,2025-05-20,0.00524991,TP,0,2.78,41.7,208500.0
COOKIE/USDT:USDT,2025-05-25,0.3006,short,15,2025-05-25,0.29158199999999995,TP,0,2.78,41.7,208500.0
B3/USDT:USDT,2025-05-30,0.003449,long,15,2025-05-30,0.00341451,SL,0,-1.22,-18.3,-91500.0
B3/USDT:USDT,2025-05-31,0.00312,long,15,2025-05-31,0.0032136,TP,0,2.78,41.7,208500.0
AIOT/USDT:USDT,2025-06-02,0.13349,long,15,2025-06-02,0.1374947,TP,0,2.78,41.7,208500.0
FLOCK/USDT:USDT,2025-06-03,0.2,short,15,2025-06-03,0.194,TP,0,2.78,41.7,208500.0
AIOT/USDT:USDT,2025-06-04,0.13361,long,15,2025-06-04,0.1376183,TP,0,2.78,41.7,208500.0
COMP/USDT:USDT,2025-06-05,44.87,short,15,2025-06-05,43.5239,TP,0,2.78,41.7,208500.0
ANIME/USDT:USDT,2025-06-06,0.03337,short,15,2025-06-06,0.0323689,TP,0,2.78,41.7,208500.0
ANIME/USDT:USDT,2025-06-07,0.02857,short,15,2025-06-07,0.027712900000000002,TP,0,2.78,41.7,208500.0
GPS/USDT:USDT,2025-06-11,0.02904,short,15,2025-06-11,0.0281688,TP,0,2.78,41.7,208500.0
COMP/USDT:USDT,2025-06-12,59.77,short,15,2025-06-12,57.9769,TP,0,2.78,41.7,208500.0
ALICE/USDT:USDT,2025-06-13,0.423,short,15,2025-06-13,0.41030999999999995,TP,0,2.78,41.7,208500.0
BMT/USDT:USDT,2025-06-17,0.12985,short,15,2025-06-17,0.1259545,TP,0,2.78,41.7,208500.0
F/USDT:USDT,2025-06-20,0.009218,long,15,2025-06-20,0.00912582,SL,0,-1.22,-18.3,-91500.0
FUN/USDT:USDT,2025-06-22,0.00704,short,15,2025-06-22,0.0068288,TP,0,2.78,41.7,208500.0
