symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
CAKE/USDT:USDT,2025-03-17,1.7794,short,7,2025-03-17,1.7847381999999998,SL,0,-0.52,-3.64,-10920.0
DBR/USDT:USDT,2025-03-18,0.03255,short,7,2025-03-18,0.0322245,TP,0,0.78,5.46,16201.13
DBR/USDT:USDT,2025-03-20,0.03033,short,7,2025-03-20,0.0300267,TP,0,0.78,5.46,16466.5
ACX/USDT:USDT,2025-03-23,0.2943,short,7,2025-03-23,0.291357,TP,0,0.78,5.46,16736.23
ACX/USDT:USDT,2025-03-24,0.3022,short,7,2025-03-24,0.299178,TP,0,0.78,5.46,17010.37
CHEEMS/USDT:USDT,2025-03-27,1.8044e-06,short,7,2025-03-27,1.786356e-06,TP,0,0.78,5.46,17289.0
ATA/USDT:USDT,2025-03-28,0.0653,short,7,2025-03-28,0.064647,TP,0,0.78,5.46,17572.19
DUSK/USDT:USDT,2025-03-30,0.07567,long,7,2025-03-30,0.0764267,TP,0,0.78,5.46,17860.02
DIA/USDT:USDT,2025-03-31,0.3522,long,7,2025-03-31,0.35572200000000004,TP,0,0.78,5.46,18152.57
CELO/USDT:USDT,2025-04-01,0.329,long,7,2025-04-01,0.33229000000000003,TP,0,0.78,5.46,18449.91
ALPINE/USDT:USDT,2025-04-07,0.667,long,7,2025-04-07,0.67367,TP,0,0.78,5.46,18752.12
ARK/USDT:USDT,2025-04-08,0.3041,short,7,2025-04-08,0.30501229999999996,SL,0,-0.52,-3.64,-12706.18
BAN/USDT:USDT,2025-04-10,0.033,long,7,2025-04-10,0.032901,SL,0,-0.52,-3.64,-12567.43
BAN/USDT:USDT,2025-04-11,0.0322,long,7,2025-04-11,0.032522,TP,0,0.78,5.46,18645.3
DEGO/USDT:USDT,2025-04-16,1.8815,short,7,2025-04-16,1.862685,TP,0,0.78,5.46,18950.71
ANKR/USDT:USDT,2025-04-20,0.01876,short,7,2025-04-20,0.0185724,TP,0,0.78,5.46,19261.12
ACE/USDT:USDT,2025-04-22,0.6582,short,7,2025-04-22,0.651618,TP,0,0.78,5.46,19576.62
ACE/USDT:USDT,2025-04-23,0.6384,short,7,2025-04-23,0.6320159999999999,TP,0,0.78,5.46,19897.28
AUDIO/USDT:USDT,2025-04-24,0.07505,short,7,2025-04-24,0.0742995,TP,0,0.78,5.46,20223.2
CAT/USDT:USDT,2025-04-25,6.88e-06,short,7,2025-04-25,6.8112e-06,TP,0,0.78,5.46,20554.45
B3/USDT:USDT,2025-04-26,0.005013,short,7,2025-04-26,0.00496287,TP,0,0.78,5.46,20891.14
BSV/USDT:USDT,2025-04-27,41.15,short,7,2025-04-27,40.738499999999995,TP,0,0.78,5.46,21233.33
1000BTT/USDT:USDT,2025-04-28,0.0007248,short,7,2025-04-28,0.0007175520000000001,TP,0,0.78,5.46,21581.13
CSPR/USDT:USDT,2025-04-29,0.014902,short,7,2025-04-29,0.01475298,TP,0,0.78,5.46,21934.63
CSPR/USDT:USDT,2025-04-30,0.013762,short,7,2025-04-30,0.01362438,TP,0,0.78,5.46,22293.92
AKT/USDT:USDT,2025-05-03,1.645,short,7,2025-05-03,1.62855,TP,0,0.78,5.46,22659.1
CITY/USDT:USDT,2025-05-05,1.102,short,7,2025-05-05,1.09098,TP,0,0.78,5.46,23030.25
