symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ACE/USDT:USDT,2025-04-24,0.6266,short,2,2025-04-25,0.645398,SL,1,-3.22,-6.44,-9660.0
BRETT/USDT:USDT,2025-04-25,0.05423,short,2,2025-04-25,0.0558569,SL,0,-3.22,-6.44,-8211.0
B3/USDT:USDT,2025-04-26,0.005013,short,2,2025-04-27,0.00471222,TP,1,5.78,11.56,17030.12
BSV/USDT:USDT,2025-04-27,41.15,short,2,2025-04-27,42.3845,SL,0,-3.22,-6.44,-8064.26
BSV/USDT:USDT,2025-04-28,40.81,short,2,2025-04-28,42.0343,SL,0,-3.22,-6.44,-9573.98
BMT/USDT:USDT,2025-04-29,0.1261,short,2,2025-04-29,0.129883,SL,0,-3.22,-6.44,-9481.49
BMT/USDT:USDT,2025-04-30,0.1402,short,2,2025-04-30,0.131788,TP,0,5.78,11.56,16855.16
AIXBT/USDT:USDT,2025-05-01,0.16422,short,2,2025-05-01,0.1691466,SL,0,-3.22,-6.44,-9552.72
AKT/USDT:USDT,2025-05-02,1.608,short,2,2025-05-02,1.6562400000000002,SL,0,-3.22,-6.44,-9460.44
AIXBT/USDT:USDT,2025-05-03,0.19314,short,2,2025-05-03,0.1815516,TP,0,5.78,11.56,16817.74
AKT/USDT:USDT,2025-05-04,1.502,short,2,2025-05-04,1.41188,TP,0,5.78,11.56,17109.36
ASR/USDT:USDT,2025-05-05,1.538,short,2,2025-05-05,1.44572,TP,0,5.78,11.56,17406.04
ASR/USDT:USDT,2025-05-06,1.342,short,2,2025-05-06,1.38226,SL,0,-3.22,-6.44,-9864.93
ASR/USDT:USDT,2025-05-07,1.838,short,2,2025-05-07,1.72772,TP,0,5.78,11.56,17536.8
ALPINE/USDT:USDT,2025-05-08,0.928,short,2,2025-05-08,0.95584,SL,0,-3.22,-6.44,-9939.04
ASR/USDT:USDT,2025-05-09,1.713,short,2,2025-05-09,1.7643900000000001,SL,0,-3.22,-6.44,-9843.03
BAN/USDT:USDT,2025-05-10,0.06718,short,2,2025-05-10,0.0691954,SL,0,-3.22,-6.44,-9747.95
BANK/USDT:USDT,2025-05-11,0.07215,short,2,2025-05-11,0.067821,TP,0,5.78,11.56,17328.84
BB/USDT:USDT,2025-05-12,0.16838,short,2,2025-05-12,0.1734314,SL,0,-3.22,-6.44,-9821.18
BANK/USDT:USDT,2025-05-13,0.07308,short,2,2025-05-13,0.0752724,SL,0,-3.22,-6.44,-9726.31
