symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BSV/USDT:USDT,2024-01-03,99.2,short,3.5,2024-01-03,93.24799999999999,TP,0,5.78,20.23,30345.0
BSV/USDT:USDT,2024-01-04,86.6,short,3.5,2024-01-04,89.198,SL,0,-3.22,-11.27,-17417.98
ARB/USDT:USDT,2024-01-05,2.005,short,2.5,2024-01-05,1.8846999999999998,TP,0,5.78,14.45,21955.19
ARB/USDT:USDT,2024-01-06,1.9515,short,3.5,2024-01-06,1.8344099999999999,TP,0,5.78,20.23,31403.5
ARPA/USDT:USDT,2024-01-07,0.0685,short,3.5,2024-01-07,0.06439,TP,0,5.78,20.23,32356.44
ARPA/USDT:USDT,2024-01-08,0.05979,short,3.5,2024-01-08,0.0562026,TP,0,5.78,20.23,33338.3
BSV/USDT:USDT,2024-01-10,90.45,short,3.5,2024-01-10,93.1635,SL,0,-3.22,-11.27,-19136.13
BSV/USDT:USDT,2024-01-11,93.13,short,3.5,2024-01-11,95.9239,SL,0,-3.22,-11.27,-18812.63
ARB/USDT:USDT,2024-01-12,2.2591,short,3.5,2024-01-12,2.123554,TP,0,5.78,20.23,33198.39
ARB/USDT:USDT,2024-01-13,2.2035,short,3.5,2024-01-14,2.07129,TP,1,5.78,20.23,34205.8
ARB/USDT:USDT,2024-01-15,2.0309,short,2.5,2024-01-15,2.091827,SL,0,-3.22,-8.05,-14024.34
ARPA/USDT:USDT,2024-01-17,0.0707,short,2.5,2024-01-18,0.06645799999999999,TP,1,5.78,14.45,24870.15
AUCTION/USDT:USDT,2024-01-18,25.91,short,2.5,2024-01-18,24.3554,TP,0,5.78,14.45,21139.62
API3/USDT:USDT,2024-01-22,2.4383,short,1.5,2024-01-22,2.2920019999999997,TP,0,5.78,8.67,15520.44
API3/USDT:USDT,2024-01-23,2.3592,short,1.5,2024-01-23,2.2176479999999996,TP,0,5.78,8.67,15722.29
API3/USDT:USDT,2024-01-24,2.1886,short,1.5,2024-01-24,2.057284,TP,0,5.78,8.67,15926.76
API3/USDT:USDT,2024-01-29,2.8213,short,1.5,2024-01-29,2.905939,SL,0,-3.22,-4.83,-8988.08
API3/USDT:USDT,2024-01-30,3.2003,short,1.5,2024-01-30,3.008282,TP,0,5.78,8.67,16016.99
API3/USDT:USDT,2024-01-31,2.9773,short,2.5,2024-01-31,2.7986619999999998,TP,0,5.78,14.45,27042.16
API3/USDT:USDT,2024-02-01,2.6663,short,2.5,2024-02-01,2.746289,SL,0,-3.22,-8.05,-15391.54
API3/USDT:USDT,2024-02-02,2.6559,short,2.5,2024-02-02,2.735577,SL,0,-3.22,-8.05,-15205.69
API3/USDT:USDT,2024-02-03,3.305,short,2.5,2024-02-03,3.4041500000000005,SL,0,-3.22,-8.05,-15022.08
API3/USDT:USDT,2024-02-04,3.2252,short,2.5,2024-02-04,3.321956,SL,0,-3.22,-8.05,-14840.69
API3/USDT:USDT,2024-02-05,3.1525,short,2.5,2024-02-05,2.9633499999999997,TP,0,5.78,14.45,26317.83
API3/USDT:USDT,2024-02-06,3.0093,short,2.5,2024-02-06,3.0995790000000003,SL,0,-3.22,-8.05,-14979.28
API3/USDT:USDT,2024-02-07,2.9383,short,2.5,2024-02-07,3.026449,SL,0,-3.22,-8.05,-14798.4
