symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BSV/USDT:USDT,2024-01-03,99.2,short,2,2024-01-03,92.0576,TP,0,6.98,13.96,20940.0
BSV/USDT:USDT,2024-01-04,86.6,short,2,2024-01-04,88.93819999999998,SL,0,-2.92,-5.84,-8943.43
ARB/USDT:USDT,2024-01-05,2.005,short,2,2024-01-05,1.8606399999999998,TP,0,6.98,13.96,21191.21
ARB/USDT:USDT,2024-01-06,1.9515,short,2,2024-01-06,1.810992,TP,0,6.98,13.96,21634.95
ARPA/USDT:USDT,2024-01-07,0.0685,short,2,2024-01-07,0.063568,TP,0,6.98,13.96,22087.99
ARPA/USDT:USDT,2024-01-08,0.05979,short,2,2024-01-08,0.05548512,TP,0,6.98,13.96,22550.51
ARB/USDT:USDT,2024-01-09,1.8223,short,2,2024-01-09,1.6910943999999999,TP,0,6.98,13.96,23022.72
BSV/USDT:USDT,2024-01-11,93.13,short,2,2024-01-11,95.64450999999998,SL,0,-2.92,-5.84,-9832.96
ARB/USDT:USDT,2024-01-13,2.2035,short,2,2024-01-14,2.044848,TP,1,6.98,13.96,23298.91
ARB/USDT:USDT,2024-01-15,2.0309,short,2,2024-01-15,2.0857343,SL,0,-2.92,-5.84,-9950.92
1000RATS/USDT:USDT,2024-01-17,0.31767,short,2,2024-01-17,0.29479775999999996,TP,0,6.98,13.96,23578.42
AUCTION/USDT:USDT,2024-01-18,25.91,short,2,2024-01-18,24.04448,TP,0,6.98,13.96,24072.15
ASTR/USDT:USDT,2024-01-19,0.16988,short,2,2024-01-19,0.17446676,SL,0,-2.92,-5.84,-10281.17
ASTR/USDT:USDT,2024-01-21,0.1801,short,2,2024-01-21,0.1849627,SL,0,-2.92,-5.84,-10191.11
API3/USDT:USDT,2024-01-22,2.4383,short,2,2024-01-22,2.2627423999999996,TP,0,6.98,13.96,24147.53
API3/USDT:USDT,2024-01-23,2.3592,short,2,2024-01-23,2.1893376,TP,0,6.98,13.96,24653.18
API3/USDT:USDT,2024-01-24,2.1886,short,2,2024-01-25,2.0310208,TP,1,6.98,13.96,25169.42
API3/USDT:USDT,2024-01-26,2.0153,short,2,2024-01-26,2.0697130999999995,SL,0,-2.92,-5.84,-10749.81
ARK/USDT:USDT,2024-01-27,0.8676,short,2,2024-01-28,0.8910252,SL,1,-2.92,-5.84,-10655.64
API3/USDT:USDT,2024-01-29,2.8213,short,2,2024-01-29,2.8974751,SL,0,-2.92,-5.84,-10562.3
API3/USDT:USDT,2024-01-30,3.2003,short,2,2024-01-30,2.9698784,TP,0,6.98,13.96,25027.06
API3/USDT:USDT,2024-01-31,2.9773,short,2,2024-01-31,2.7629344,TP,0,6.98,13.96,25551.13
API3/USDT:USDT,2024-02-01,2.6663,short,2,2024-02-01,2.7382901,SL,0,-2.92,-5.84,-10912.84
