symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
AR/USDT:USDT,2024-01-16,9.949,long,2,2024-01-18,9.551039999999999,SL,2,-4.22,-8.44,-16880.0
AGI/USDT:USDT,2024-01-20,0.04689,short,2,2024-01-20,0.048765600000000006,SL,0,-4.22,-8.44,-16595.07
AUDIO/USDT:USDT,2024-01-22,0.1978,short,2,2024-01-23,0.17802,TP,1,9.78,19.56,37810.46
ALICE/USDT:USDT,2024-01-23,1.091,short,2,2024-01-27,1.13464,SL,4,-4.22,-8.44,-16314.94
BNT/USDT:USDT,2024-01-24,0.6739,short,2,2024-01-27,0.700856,SL,3,-4.22,-8.44,-16953.18
ALICE/USDT:USDT,2024-01-25,1.076,short,2,2024-01-27,1.11904,SL,2,-4.22,-8.44,-16953.18
BNT/USDT:USDT,2024-01-28,0.695,short,2,2024-02-02,0.7228,SL,5,-4.22,-8.44,-16105.45
ATA/USDT:USDT,2024-02-01,0.0844,short,2,2024-02-06,0.087776,SL,5,-4.22,-8.44,-16105.45
ATA/USDT:USDT,2024-02-04,0.0845,short,2,2024-02-06,0.08788000000000001,SL,2,-4.22,-8.44,-15833.59
ATA/USDT:USDT,2024-02-05,0.0833,short,2,2024-02-06,0.086632,SL,1,-4.22,-8.44,-15833.59
BTC/USDT:USDT,2024-05-03,59036.8,short,2,2024-05-03,61398.272000000004,SL,0,-4.22,-8.44,-15027.18
AR/USDT:USDT,2024-05-04,34.541,long,2,2024-05-05,37.9951,TP,1,9.78,19.56,34238.17
API3/USDT:USDT,2024-05-10,2.4847,long,2,2024-05-10,2.385312,SL,0,-4.22,-8.44,-15351.47
ARPA/USDT:USDT,2024-05-13,0.07307,long,2,2024-05-13,0.07014719999999999,SL,0,-4.22,-8.44,-15092.33
ARPA/USDT:USDT,2024-05-14,0.06924,long,2,2024-05-15,0.076164,TP,1,9.78,19.56,34386.61
1000BTT/USDT:USDT,2024-05-12,0.0011758,short,2,2024-05-18,0.001222832,SL,6,-4.22,-8.44,-15092.33
AGI/USDT:USDT,2024-06-23,0.24231,short,2,2024-06-23,0.218079,TP,0,9.78,19.56,35141.4
1000RATS/USDT:USDT,2024-06-24,0.10735,short,2,2024-06-24,0.096615,TP,0,9.78,19.56,36516.13
1000RATS/USDT:USDT,2024-06-25,0.10178,short,2,2024-06-25,0.10585119999999999,SL,0,-4.22,-8.44,-16372.84
1000RATS/USDT:USDT,2024-06-26,0.11952,short,2,2024-06-26,0.1243008,SL,0,-4.22,-8.44,-16096.47
1000RATS/USDT:USDT,2024-06-27,0.13798,long,2,2024-06-27,0.151778,TP,0,9.78,19.56,36674.44
BNT/USDT:USDT,2024-06-21,0.6431,short,2,2024-06-28,0.6242,TIMEOUT,7,2.72,5.44,9769.49
1000BONK/USDT:USDT,2024-07-03,0.025395,long,2,2024-07-03,0.0243792,SL,0,-4.22,-8.44,-16608.73
ARPA/USDT:USDT,2024-07-02,0.0455,short,2,2024-07-04,0.04095,TP,2,9.78,19.56,38491.33
ACH/USDT:USDT,2024-07-04,0.024767,long,2,2024-07-04,0.02377632,SL,0,-4.22,-8.44,-16328.38
AI/USDT:USDT,2024-07-05,0.553,short,2,2024-07-05,0.49770000000000003,TP,0,9.78,19.56,38708.61
BOBA/USDT:USDT,2024-07-07,0.2323,short,2,2024-07-08,0.20907,TP,1,9.78,19.56,40222.89
AXL/USDT:USDT,2024-07-08,0.6589,long,2,2024-07-08,0.632544,SL,0,-4.22,-8.44,-17355.89
AXL/USDT:USDT,2024-07-09,0.6658,long,2,2024-07-09,0.639168,SL,0,-4.22,-8.44,-17741.88
ACE/USDT:USDT,2024-07-10,2.73,short,2,2024-07-10,2.8392,SL,0,-4.22,-8.44,-17442.4
ACE/USDT:USDT,2024-07-11,2.77,short,2,2024-07-11,2.8808000000000002,SL,0,-4.22,-8.44,-17147.97
AXS/USDT:USDT,2024-07-12,5.292,short,2,2024-07-13,5.50368,SL,1,-4.22,-8.44,-16858.52
ACE/USDT:USDT,2024-07-13,2.777,short,2,2024-07-15,2.8880800000000004,SL,2,-4.22,-8.44,-16858.52
AXL/USDT:USDT,2024-07-14,0.6857,long,2,2024-07-16,0.75427,TP,2,9.78,19.56,38410.7
ASTR/USDT:USDT,2024-07-15,0.0748,long,2,2024-07-16,0.08228,TP,1,9.78,19.56,38410.7
ARK/USDT:USDT,2024-07-16,0.3382,short,2,2024-07-17,0.351728,SL,1,-4.22,-8.44,-16289.37
BSV/USDT:USDT,2024-07-20,47.39,long,2,2024-07-21,45.4944,SL,1,-4.22,-8.44,-17311.15
AUCTION/USDT:USDT,2024-08-02,18.67,long,2,2024-08-02,17.9232,SL,0,-4.22,-8.44,-17018.94
AUCTION/USDT:USDT,2024-08-03,16.75,long,2,2024-08-03,16.08,SL,0,-4.22,-8.44,-16731.66
1000BTT/USDT:USDT,2024-08-04,0.0007863,short,2,2024-08-05,0.00070767,TP,1,9.78,19.56,38121.68
ACE/USDT:USDT,2024-08-05,2.346,short,2,2024-08-05,2.1114,TP,0,9.78,19.56,38121.68
AUDIO/USDT:USDT,2024-08-06,0.1084,short,2,2024-08-06,0.112736,SL,0,-4.22,-8.44,-17736.22
ARK/USDT:USDT,2024-08-11,0.3488,short,2,2024-08-11,0.31392000000000003,TP,0,9.78,19.56,40410.47
AERO/USDT:USDT,2024-08-12,0.665,short,2,2024-08-19,0.641,TIMEOUT,7,3.39,6.78,14551.08
AERO/USDT:USDT,2024-08-13,0.682,short,2,2024-08-20,0.631,TIMEOUT,7,7.26,14.52,31162.92
ALICE/USDT:USDT,2024-08-20,1.022,long,2,2024-08-20,1.1242,TP,0,9.78,19.56,42560.57
AERO/USDT:USDT,2024-08-14,0.664,short,2,2024-08-21,0.648,TIMEOUT,7,2.19,4.38,9401.42
ATA/USDT:USDT,2024-08-21,0.0807,long,2,2024-08-22,0.08877,TP,1,9.78,19.56,45444.63
AUCTION/USDT:USDT,2024-08-24,18.04,long,2,2024-08-25,17.318399999999997,SL,1,-4.22,-8.44,-20534.84
ATA/USDT:USDT,2024-08-22,0.0871,long,2,2024-08-27,0.083616,SL,5,-4.22,-8.44,-19767.73
CAKE/USDT:USDT,2024-08-23,1.9417,long,2,2024-08-27,1.864032,SL,4,-4.22,-8.44,-20534.84
BOBA/USDT:USDT,2024-08-26,0.2232,long,2,2024-08-27,0.214272,SL,1,-4.22,-8.44,-20188.21
AUDIO/USDT:USDT,2024-08-28,0.1353,long,2,2024-08-30,0.129888,SL,2,-4.22,-8.44,-19167.12
BLAST/USDT:USDT,2024-09-02,0.00898,short,2,2024-09-02,0.0093392,SL,0,-4.22,-8.44,-18843.58
BLAST/USDT:USDT,2024-08-30,0.00968,short,2,2024-09-03,0.008712,TP,4,9.78,19.56,44420.49
BLAST/USDT:USDT,2024-09-03,0.00932,short,2,2024-09-04,0.008388,TP,1,9.78,19.56,42933.51
BLAST/USDT:USDT,2024-09-04,0.00859,short,2,2024-09-04,0.0089336,SL,0,-4.22,-8.44,-19275.32
BOBA/USDT:USDT,2024-08-29,0.2112,short,2,2024-09-05,0.1982,TIMEOUT,7,5.94,11.87,26957.98
ALICE/USDT:USDT,2024-09-05,0.945,short,2,2024-09-06,0.8504999999999999,TP,1,9.78,19.56,45596.75
BNT/USDT:USDT,2024-09-07,0.4319,short,2,2024-09-07,0.449176,SL,0,-4.22,-8.44,-20899.39
ATA/USDT:USDT,2024-09-08,0.073,short,2,2024-09-08,0.07592,SL,0,-4.22,-8.44,-20546.61
ATOM/USDT:USDT,2024-09-06,3.904,short,2,2024-09-09,4.06016,SL,3,-4.22,-8.44,-20129.72
API3/USDT:USDT,2024-09-09,1.3191,short,2,2024-09-09,1.371864,SL,0,-4.22,-8.44,-20199.79
1000BTT/USDT:USDT,2024-09-10,0.0009055,long,2,2024-09-11,0.0008692799999999999,SL,1,-4.22,-8.44,-19519.02
BSV/USDT:USDT,2024-09-12,49.29,long,2,2024-09-13,47.3184,SL,1,-4.22,-8.44,-19189.54
ARPA/USDT:USDT,2024-09-13,0.04109,long,2,2024-09-15,0.0394464,SL,2,-4.22,-8.44,-19189.54
ARPA/USDT:USDT,2024-09-14,0.0413,long,2,2024-09-15,0.039648,SL,1,-4.22,-8.44,-18865.62
ATH/USDT:USDT,2024-09-15,0.05773,long,2,2024-09-16,0.05542079999999999,SL,1,-4.22,-8.44,-18865.62
API3/USDT:USDT,2024-09-16,1.452,long,2,2024-09-17,1.5972000000000002,TP,1,9.78,19.56,42233.03
ATH/USDT:USDT,2024-09-19,0.05942,long,2,2024-09-21,0.057043199999999995,SL,2,-4.22,-8.44,-18617.69
AMP/USDT:USDT,2024-09-22,0.003991,long,2,2024-09-22,0.0043901,TP,0,9.78,19.56,42418.84
AIOZ/USDT:USDT,2024-09-21,0.4288,long,2,2024-09-23,0.47168000000000004,TP,2,9.78,19.56,43147.17
ACE/USDT:USDT,2024-09-20,2.36,long,2,2024-09-25,2.596,TP,5,9.78,19.56,43147.17
AXS/USDT:USDT,2024-09-23,4.892,long,2,2024-09-26,5.381200000000001,TP,3,9.78,19.56,44078.27
AR/USDT:USDT,2024-09-26,22.333,long,2,2024-09-27,24.566300000000002,TP,1,9.78,19.56,47454.1
ANKR/USDT:USDT,2024-09-27,0.03066,long,2,2024-09-28,0.029433599999999997,SL,1,-4.22,-8.44,-21220.15
AMP/USDT:USDT,2024-09-24,0.004143,long,2,2024-10-01,0.00397728,SL,7,-4.22,-8.44,-19747.78
ACH/USDT:USDT,2024-10-02,0.018621,long,2,2024-10-02,0.0204831,TP,0,9.78,19.56,49432.18
AUDIO/USDT:USDT,2024-10-03,0.1164,short,2,2024-10-04,0.12105600000000001,SL,1,-4.22,-8.44,-22164.05
AXL/USDT:USDT,2024-10-05,0.6465,long,2,2024-10-05,0.7111500000000001,TP,0,9.78,19.56,50498.91
BAT/USDT:USDT,2024-10-10,0.1672,short,2,2024-10-11,0.173888,SL,1,-4.22,-8.44,-22642.34
AXS/USDT:USDT,2024-10-11,4.451,short,2,2024-10-11,4.62904,SL,0,-4.22,-8.44,-22642.34
BNT/USDT:USDT,2024-10-09,0.4821,short,2,2024-10-13,0.5013839999999999,SL,4,-4.22,-8.44,-22642.34
AEVO/USDT:USDT,2024-10-12,0.3368,short,2,2024-10-13,0.350272,SL,1,-4.22,-8.44,-21877.94
ATA/USDT:USDT,2024-10-15,0.085,short,2,2024-10-20,0.0884,SL,5,-4.22,-8.44,-21126.43
ARPA/USDT:USDT,2025-02-03,0.04065,long,2,2025-02-03,0.039023999999999996,SL,0,-4.22,-8.44,-20769.82
ARPA/USDT:USDT,2025-02-04,0.04001,short,2,2025-02-04,0.036009,TP,0,9.78,19.56,47322.28
