symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BB/USDT:USDT,2024-09-08,0.2978,long,3,2024-09-11,0.28291,SL,3,-5.22,-15.66,-39150.0
ALT/USDT:USDT,2024-09-07,0.07715,long,3,2024-09-16,0.0732925,SL,9,-5.22,-15.66,-39150.0
BAN/USDT:USDT,2025-02-26,0.0682,long,3,2025-02-26,0.06479,SL,0,-5.22,-15.66,-36084.55
AVL/USDT:USDT,2025-02-27,0.2838,long,3,2025-02-27,0.317856,TP,0,11.78,35.34,78244.13
BIGTIME/USDT:USDT,2025-02-28,0.06201,long,3,2025-02-28,0.0589095,SL,0,-5.22,-15.66,-37735.1
AVL/USDT:USDT,2025-03-01,0.3988,long,3,2025-03-01,0.37886,SL,0,-5.22,-15.66,-36257.77
AEVO/USDT:USDT,2025-03-02,0.1516,long,3,2025-03-02,0.16979200000000003,TP,0,11.78,35.34,78619.72
AVA/USDT:USDT,2025-03-11,0.6209,long,3,2025-03-11,0.695408,TP,0,11.78,35.34,85565.78
ARK/USDT:USDT,2025-04-09,0.3486,long,3,2025-04-09,0.33117,SL,0,-5.22,-15.66,-41266.14
BNB/USDT:USDT,2025-10-13,1302.86,long,3,2025-10-14,1237.7169999999999,SL,1,-5.22,-15.66,-39650.57
BLOCK/USDT:USDT,2025-10-18,0.0203,long,3,2025-10-20,0.022736,TP,2,11.78,35.34,85976.52
A/USDT:USDT,2025-11-08,0.3129,long,3,2025-11-08,0.297255,SL,0,-5.22,-15.66,-41464.24
0G/USDT:USDT,2025-11-09,1.4869,long,3,2025-11-09,1.6653280000000004,TP,0,11.78,35.34,89909.18
BSU/USDT:USDT,2025-11-06,0.2222,long,3,2025-11-12,0.24886400000000003,TP,6,11.78,35.34,93572.55
AUCTION/USDT:USDT,2025-11-10,6.605,long,3,2025-11-13,6.27475,SL,3,-5.22,-15.66,-43360.85
ASR/USDT:USDT,2025-11-05,1.44,long,3,2025-11-15,1.414,TIMEOUT,10,-2.03,-6.08,-16089.68
1000RATS/USDT:USDT,2025-11-15,0.0427,long,3,2025-11-16,0.040565,SL,1,-5.22,-15.66,-45326.64
AVL/USDT:USDT,2025-11-16,0.1596,long,3,2025-11-16,0.178752,TP,0,11.78,35.34,100867.34
ACS/USDT:USDT,2025-11-17,0.000519,long,3,2025-11-17,0.00049305,SL,0,-5.22,-15.66,-46871.15
