symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
AUCTION/USDT:USDT,2025-03-15,27.65,short,10,2025-03-15,25.438,TP,0,7.78,77.8,38900.0
AUCTION/USDT:USDT,2025-03-16,26.26,short,10,2025-03-16,27.047800000000002,SL,0,-3.22,-32.2,-16726.29
AUCTION/USDT:USDT,2025-03-18,32.29,short,10,2025-03-18,29.7068,TP,0,7.78,77.8,39762.56
CAKE/USDT:USDT,2025-03-19,2.5818,short,10,2025-03-19,2.375256,TP,0,7.78,77.8,41309.32
AUCTION/USDT:USDT,2025-03-20,40.04,short,10,2025-03-20,41.2412,SL,0,-3.22,-32.2,-17762.25
AUCTION/USDT:USDT,2025-03-21,45.4,short,10,2025-03-21,46.762,SL,0,-3.22,-32.2,-17476.28
AUCTION/USDT:USDT,2025-03-22,51.47,short,10,2025-03-22,47.3524,TP,0,7.78,77.8,41545.47
AUCTION/USDT:USDT,2025-03-23,31.25,short,10,2025-03-23,28.75,TP,0,7.78,77.8,43161.59
API3/USDT:USDT,2025-03-24,1.3701,short,10,2025-03-24,1.2604920000000002,TP,0,7.78,77.8,44840.58
API3/USDT:USDT,2025-03-25,1.3145,short,10,2025-03-25,1.353935,SL,0,-3.22,-32.2,-19280.63
1000BONK/USDT:USDT,2025-03-26,0.014025,short,10,2025-03-26,0.01444575,SL,0,-3.22,-32.2,-18970.21
ALCH/USDT:USDT,2025-03-27,0.0901,short,10,2025-03-27,0.08289200000000001,TP,0,7.78,77.8,45096.92
AGI/USDT:USDT,2025-03-28,0.07621,short,10,2025-03-28,0.0701132,TP,0,7.78,77.8,46851.19
BIGTIME/USDT:USDT,2025-03-29,0.05302,short,10,2025-03-29,0.0487784,TP,0,7.78,77.8,48673.7
BOBA/USDT:USDT,2025-03-31,0.0955,long,10,2025-03-31,0.092635,SL,0,-3.22,-32.2,-20928.8
ACS/USDT:USDT,2025-04-01,0.001308,long,10,2025-04-02,0.0012687599999999999,SL,1,-3.22,-32.2,-20591.85
ALEO/USDT:USDT,2025-04-02,0.211,long,10,2025-04-02,0.20467,SL,0,-3.22,-32.2,-19562.26
ACT/USDT:USDT,2025-04-03,0.0521,long,10,2025-04-03,0.056268000000000006,TP,0,7.78,77.8,48190.98
ACT/USDT:USDT,2025-04-04,0.0611,long,10,2025-04-04,0.059267,SL,0,-3.22,-32.2,-20721.24
ACT/USDT:USDT,2025-04-05,0.0559,long,10,2025-04-05,0.060372,TP,0,7.78,77.8,49259.56
ACT/USDT:USDT,2025-04-06,0.0538,long,10,2025-04-06,0.052185999999999996,SL,0,-3.22,-32.2,-21180.71
ALEO/USDT:USDT,2025-04-07,0.128,long,10,2025-04-07,0.12415999999999999,SL,0,-3.22,-32.2,-20839.7
ALEO/USDT:USDT,2025-04-08,0.126,long,10,2025-04-08,0.13608,TP,0,7.78,77.8,49541.16
BAN/USDT:USDT,2025-04-09,0.0338,long,10,2025-04-09,0.032785999999999996,SL,0,-3.22,-32.2,-21301.79
BAN/USDT:USDT,2025-04-10,0.033,long,10,2025-04-10,0.032010000000000004,SL,0,-3.22,-32.2,-20958.84
BAN/USDT:USDT,2025-04-11,0.0322,long,10,2025-04-11,0.034776,TP,0,7.78,77.8,49824.37
AERGO/USDT:USDT,2025-04-12,0.21604,short,10,2025-04-12,0.1987568,TP,0,7.78,77.8,51762.54
AERGO/USDT:USDT,2025-04-13,0.23328,short,10,2025-04-13,0.2402784,SL,0,-3.22,-32.2,-22256.95
AERGO/USDT:USDT,2025-04-14,0.2945,short,10,2025-04-14,0.30333499999999997,SL,0,-3.22,-32.2,-21898.61
AERGO/USDT:USDT,2025-04-15,0.35364,short,10,2025-04-15,0.3642492,SL,0,-3.22,-32.2,-21546.04
AERGO/USDT:USDT,2025-04-16,0.43035,short,10,2025-04-16,0.39592200000000005,TP,0,7.78,77.8,51220.31
AERGO/USDT:USDT,2025-04-17,0.13711,short,10,2025-04-17,0.1261412,TP,0,7.78,77.8,53212.78
ALEO/USDT:USDT,2025-04-21,0.2755,short,10,2025-04-21,0.25346,TP,0,7.78,77.8,55282.76
ALEO/USDT:USDT,2025-04-22,0.2483,short,10,2025-04-22,0.228436,TP,0,7.78,77.8,57433.26
