symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BNB/USDT:USDT,2024-01-26,292.08,long,2,2024-01-29,309.6048,TP,3,5.78,11.56,17340.0
BTC/USDT:USDT,2024-05-12,60808.6,long,2,2024-05-15,64457.116,TP,3,5.78,11.56,17640.68
BTC/USDT:USDT,2024-06-28,61682.2,long,2,2024-06-28,60140.145,SL,0,-2.72,-5.44,-8445.44
BTC/USDT:USDT,2024-06-27,60860.1,long,2,2024-07-02,62123.5,TIMEOUT,5,1.86,3.71,5762.49
BTC/USDT:USDT,2024-06-30,60982.4,long,2,2024-07-03,59457.84,SL,3,-2.72,-5.44,-8376.53
BTC/USDT:USDT,2024-06-29,60429.9,long,2,2024-07-04,58919.1525,SL,5,-2.72,-5.44,-8376.53
ARB/USDT:USDT,2024-07-04,0.7641,long,2,2024-07-04,0.7449975,SL,0,-2.72,-5.44,-8355.2
BOBA/USDT:USDT,2024-07-05,0.2119,long,2,2024-07-05,0.224614,TP,0,5.78,11.56,17464.67
BNB/USDT:USDT,2024-07-06,497.44,long,2,2024-07-06,527.2864000000001,TP,0,5.78,11.56,17767.5
BNB/USDT:USDT,2024-07-07,526.16,long,2,2024-07-07,513.006,SL,0,-2.72,-5.44,-8506.16
BNB/USDT:USDT,2024-07-08,490.64,long,2,2024-07-08,520.0784,TP,0,5.78,11.56,17928.09
1000BTT/USDT:USDT,2024-07-09,0.0007743,long,2,2024-07-14,0.0008207580000000001,TP,5,5.78,11.56,18238.97
1000BTT/USDT:USDT,2024-07-10,0.0007877,long,2,2024-07-15,0.0008349620000000001,TP,5,5.78,11.56,18238.97
1000BTT/USDT:USDT,2024-07-11,0.0007986,long,2,2024-07-15,0.0008465160000000001,TP,4,5.78,11.56,18238.97
ATOM/USDT:USDT,2024-08-02,5.776,long,2,2024-08-02,5.6316,SL,0,-2.72,-5.44,-9029.53
1000BTT/USDT:USDT,2024-08-04,0.0007863,long,2,2024-08-04,0.0007666425,SL,0,-2.72,-5.44,-8955.85
BTC/USDT:USDT,2024-08-05,58135.3,long,2,2024-08-05,56681.9175,SL,0,-2.72,-5.44,-8882.77
BTC/USDT:USDT,2024-08-06,53987.8,long,2,2024-08-07,57227.06800000001,TP,1,5.78,11.56,18721.87
1000BTT/USDT:USDT,2024-08-19,0.0007362,long,2,2024-08-20,0.0007803720000000001,TP,1,5.78,11.56,19046.5
BTC/USDT:USDT,2024-08-23,60349.6,short,2,2024-08-23,61858.34,SL,0,-2.72,-5.44,-9118.48
ADA/USDT:USDT,2024-08-24,0.391,short,2,2024-08-24,0.400775,SL,0,-2.72,-5.44,-9044.07
ADA/USDT:USDT,2024-08-26,0.3845,short,2,2024-08-27,0.36143,TP,1,5.78,11.56,19061.83
ALGO/USDT:USDT,2024-08-27,0.1345,short,2,2024-08-27,0.12643000000000001,TP,0,5.78,11.56,19061.83
BNT/USDT:USDT,2024-08-28,0.4844,short,2,2024-08-28,0.49650999999999995,SL,0,-2.72,-5.44,-9281.36
BOBA/USDT:USDT,2024-09-04,0.194,long,2,2024-09-04,0.20564000000000002,TP,0,5.78,11.56,19561.96
BOBA/USDT:USDT,2024-09-05,0.2086,long,2,2024-09-05,0.203385,SL,0,-2.72,-5.44,-9365.25
BNB/USDT:USDT,2024-09-06,502.54,long,2,2024-09-06,489.9765,SL,0,-2.72,-5.44,-9288.83
BNB/USDT:USDT,2024-09-07,487.1,long,2,2024-09-09,516.326,TP,2,5.78,11.56,19577.7
BTC/USDT:USDT,2024-09-08,54134.9,long,2,2024-09-09,57382.994000000006,TP,1,5.78,11.56,19577.7
BNB/USDT:USDT,2024-09-09,502.94,long,2,2024-09-11,533.1164,TP,2,5.78,11.56,19577.7
BTC/USDT:USDT,2024-09-11,57609.1,long,2,2024-09-11,56168.8725,SL,0,-2.72,-5.44,-9532.54
BNB/USDT:USDT,2024-09-10,518.97,long,2,2024-09-13,550.1082,TP,3,5.78,11.56,20256.65
BNB/USDT:USDT,2024-09-14,556.0,short,2,2024-09-19,569.9,SL,5,-2.72,-5.44,-9779.81
BNB/USDT:USDT,2024-09-15,553.21,short,2,2024-09-19,567.04025,SL,4,-2.72,-5.44,-9779.81
BTC/USDT:USDT,2024-09-19,61733.0,short,2,2024-09-19,63276.325,SL,0,-2.72,-5.44,-9779.81
ATOM/USDT:USDT,2024-09-21,4.524,short,2,2024-09-21,4.637099999999999,SL,0,-2.72,-5.44,-9540.4
BAT/USDT:USDT,2024-09-22,0.1951,short,2,2024-09-22,0.18339399999999997,TP,0,5.78,11.56,20107.91
BTC/USDT:USDT,2024-09-20,62926.9,short,2,2024-09-23,64500.072499999995,SL,3,-2.72,-5.44,-9540.4
BNT/USDT:USDT,2024-09-23,0.5088,short,2,2024-09-23,0.52152,SL,0,-2.72,-5.44,-9626.63
BAT/USDT:USDT,2024-09-24,0.1934,short,2,2024-09-24,0.19823499999999997,SL,0,-2.72,-5.44,-9470.22
ADA/USDT:USDT,2024-09-27,0.4014,short,2,2024-09-27,0.41143499999999994,SL,0,-2.72,-5.44,-9392.95
BAT/USDT:USDT,2024-09-25,0.1947,short,2,2024-09-30,0.18301800000000001,TP,5,5.78,11.56,19960.01
1000BTT/USDT:USDT,2024-10-02,0.0009002,short,2,2024-10-02,0.0009227049999999999,SL,0,-2.72,-5.44,-9479.17
BNB/USDT:USDT,2024-10-03,542.38,long,2,2024-10-07,574.9228,TP,4,5.78,11.56,19978.88
BNB/USDT:USDT,2024-10-04,544.54,long,2,2024-10-07,577.2124,TP,3,5.78,11.56,19978.88
1000BTT/USDT:USDT,2024-10-12,0.000915,long,2,2024-10-13,0.000892125,SL,1,-2.72,-5.44,-9727.88
BTC/USDT:USDT,2025-02-04,101293.6,long,2,2025-02-04,98761.26000000001,SL,0,-2.72,-5.44,-9648.5
BTC/USDT:USDT,2025-02-06,96553.3,long,2,2025-02-11,95731.4,TIMEOUT,5,-1.07,-2.14,-3768.94
BTC/USDT:USDT,2025-02-07,96515.1,long,2,2025-02-12,94102.2225,SL,5,-2.72,-5.44,-9569.77
1000BTT/USDT:USDT,2025-02-23,0.0008444,long,2,2025-02-24,0.0008232900000000001,SL,1,-2.72,-5.44,-9460.92
BTC/USDT:USDT,2025-02-26,88638.7,long,2,2025-02-26,86422.7325,SL,0,-2.72,-5.44,-9383.72
