symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BB/USDT:USDT,2024-07-05,0.3557,short,2,2024-07-05,0.337915,TP,0,4.78,9.56,19120.0
AEVO/USDT:USDT,2024-07-06,0.3494,short,2,2024-07-06,0.356388,SL,0,-2.22,-4.44,-9049.79
AXL/USDT:USDT,2024-07-08,0.6589,long,2,2024-07-08,0.691845,TP,0,4.78,9.56,19312.54
BRETT/USDT:USDT,2024-07-11,0.1186,long,2,2024-07-11,0.12453,TP,0,4.78,9.56,19681.8
1000RATS/USDT:USDT,2024-07-12,0.08445,long,2,2024-07-12,0.0886725,TP,0,4.78,9.56,20058.11
AIOZ/USDT:USDT,2024-08-04,0.4771,short,2,2024-08-04,0.453245,TP,0,4.78,9.56,20441.63
AUDIO/USDT:USDT,2024-08-05,0.1219,long,2,2024-08-05,0.119462,SL,0,-2.22,-4.44,-9675.33
AGI/USDT:USDT,2024-08-06,0.1146,short,2,2024-08-06,0.116892,SL,0,-2.22,-4.44,-9589.41
AIOZ/USDT:USDT,2024-08-08,0.4549,long,2,2024-08-08,0.47764500000000004,TP,0,4.78,9.56,20464.13
BLAST/USDT:USDT,2024-08-12,0.01063,long,2,2024-08-12,0.011161500000000001,TP,0,4.78,9.56,20855.4
BANANA/USDT:USDT,2024-08-15,44.58,long,2,2024-08-15,46.809,TP,0,4.78,9.56,21254.16
AAVE/USDT:USDT,2024-08-16,107.74,long,2,2024-08-16,113.127,TP,0,4.78,9.56,21660.54
BB/USDT:USDT,2024-08-19,0.3052,long,2,2024-08-20,0.32046,TP,1,4.78,9.56,22074.69
ARPA/USDT:USDT,2024-08-21,0.04008,long,2,2024-08-23,0.042083999999999996,TP,2,4.78,9.56,22496.75
CAKE/USDT:USDT,2024-08-23,1.9417,long,2,2024-08-23,2.038785,TP,0,4.78,9.56,22496.75
1000RATS/USDT:USDT,2024-08-29,0.08568,short,2,2024-08-29,0.0873936,SL,0,-2.22,-4.44,-10847.83
BANANA/USDT:USDT,2024-08-31,40.59,long,2,2024-08-31,39.778200000000005,SL,0,-2.22,-4.44,-10751.5
AAVE/USDT:USDT,2024-09-01,129.6,long,2,2024-09-01,127.008,SL,0,-2.22,-4.44,-10656.02
BB/USDT:USDT,2024-09-02,0.2555,short,2,2024-09-02,0.26061,SL,0,-2.22,-4.44,-10561.4
1000RATS/USDT:USDT,2024-09-04,0.08854,long,2,2024-09-04,0.092967,TP,0,4.78,9.56,22538.37
AAVE/USDT:USDT,2024-09-06,128.86,long,2,2024-09-06,126.28280000000001,SL,0,-2.22,-4.44,-10667.75
BSV/USDT:USDT,2024-09-12,49.29,long,2,2024-09-12,48.3042,SL,0,-2.22,-4.44,-10573.02
1000RATS/USDT:USDT,2024-09-17,0.08763,short,2,2024-09-17,0.0893826,SL,0,-2.22,-4.44,-10479.14
AR/USDT:USDT,2024-10-03,18.417,short,2,2024-10-03,17.49615,TP,0,4.78,9.56,22362.82
ARK/USDT:USDT,2024-10-11,0.4133,short,2,2024-10-11,0.421566,SL,0,-2.22,-4.44,-10584.66
ALCH/USDT:USDT,2025-02-08,0.0248,short,2,2025-02-08,0.025296,SL,0,-2.22,-4.44,-10490.67
ATH/USDT:USDT,2025-02-09,0.04059,long,2,2025-02-09,0.0397782,SL,0,-2.22,-4.44,-10397.51
BAN/USDT:USDT,2025-02-26,0.0682,short,2,2025-02-26,0.06479,TP,0,4.78,9.56,22188.64
ADA/USDT:USDT,2025-03-04,0.857,long,2,2025-03-04,0.89985,TP,0,4.78,9.56,22612.89
