symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ARPA/USDT:USDT,2024-01-03,0.05752,long,2,2024-01-03,0.062121600000000006,TP,0,7.78,15.56,31120.0
ARPA/USDT:USDT,2024-01-09,0.06271,long,2,2024-01-09,0.0608287,SL,0,-3.22,-6.44,-13280.83
AR/USDT:USDT,2024-01-16,9.949,long,2,2024-01-18,9.65053,SL,2,-3.22,-6.44,-13109.77
AUCTION/USDT:USDT,2024-01-27,25.25,long,2,2024-01-27,27.270000000000003,TP,0,7.78,15.56,31267.18
1000RATS/USDT:USDT,2024-02-02,0.25058,long,2,2024-02-02,0.24306260000000002,SL,0,-3.22,-6.44,-13343.64
1000BONK/USDT:USDT,2024-02-11,0.013272,long,2,2024-02-11,0.012873840000000001,SL,0,-3.22,-6.44,-13171.77
BTC/USDT:USDT,2024-02-09,45269.5,long,2,2024-02-12,48891.060000000005,TP,3,7.78,15.56,31824.96
1000BONK/USDT:USDT,2024-02-13,0.013186,long,2,2024-02-13,0.01279042,SL,0,-3.22,-6.44,-13412.02
BOBA/USDT:USDT,2024-02-10,0.2505,long,2,2024-02-15,0.27054,TP,5,7.78,15.56,31824.96
AR/USDT:USDT,2024-02-15,9.874,long,2,2024-02-15,10.663920000000001,TP,0,7.78,15.56,31988.06
CAKE/USDT:USDT,2024-02-16,2.7963,long,2,2024-02-16,2.712411,SL,0,-3.22,-6.44,-14061.19
CAKE/USDT:USDT,2024-02-17,2.7639,long,2,2024-02-17,2.680983,SL,0,-3.22,-6.44,-13880.08
BAT/USDT:USDT,2024-02-19,0.2615,long,2,2024-02-20,0.253655,SL,1,-3.22,-6.44,-13701.3
CAKE/USDT:USDT,2024-02-21,2.7495,long,2,2024-02-21,2.6670149999999997,SL,0,-3.22,-6.44,-13524.83
BNB/USDT:USDT,2024-02-25,381.27,long,2,2024-02-28,411.77160000000003,TP,3,7.78,15.56,32257.12
AAVE/USDT:USDT,2024-02-26,100.44,long,2,2024-02-28,108.4752,TP,2,7.78,15.56,32257.12
