symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BIGTIME/USDT:USDT,2024-01-03,0.4897,short,2,2024-01-03,0.465215,TP,0,4.78,9.56,14340.0
1000RATS/USDT:USDT,2024-01-05,0.27793,short,2,2024-01-05,0.2640335,TP,0,4.78,9.56,14545.64
AUCTION/USDT:USDT,2024-01-09,20.88,short,2,2024-01-09,19.836,TP,0,4.78,9.56,14754.22
BIGTIME/USDT:USDT,2024-01-11,0.4067,short,2,2024-01-11,0.41686749999999995,SL,0,-2.72,-5.44,-8516.1
1000RATS/USDT:USDT,2024-01-16,0.33017,short,2,2024-01-16,0.3136615,TP,0,4.78,9.56,14843.67
1000BONK/USDT:USDT,2024-01-17,0.014062,short,2,2024-01-17,0.0133589,TP,0,4.78,9.56,15056.53
BIGTIME/USDT:USDT,2024-01-30,0.3662,short,2,2024-01-30,0.34789000000000003,TP,0,4.78,9.56,15272.44
ALT/USDT:USDT,2024-02-02,0.34501,short,2,2024-02-02,0.35363524999999996,SL,0,-2.72,-5.44,-8815.22
AR/USDT:USDT,2024-02-08,8.343,short,2,2024-02-08,8.551575,SL,0,-2.72,-5.44,-8743.29
AUCTION/USDT:USDT,2024-02-09,26.21,short,2,2024-02-09,26.86525,SL,0,-2.72,-5.44,-8671.94
ARPA/USDT:USDT,2024-02-10,0.0564,short,2,2024-02-13,0.05780999999999999,SL,3,-2.72,-5.44,-8601.18
1000BONK/USDT:USDT,2024-02-13,0.013186,short,2,2024-02-13,0.0125267,TP,0,4.78,9.56,15115.31
1000BTT/USDT:USDT,2024-02-12,0.000999,short,2,2024-02-15,0.001023975,SL,3,-2.72,-5.44,-8601.18
ASTR/USDT:USDT,2024-02-15,0.17757,short,2,2024-02-15,0.18200924999999998,SL,0,-2.72,-5.44,-8654.33
ALT/USDT:USDT,2024-02-25,0.50685,short,2,2024-02-25,0.5195212499999999,SL,0,-2.72,-5.44,-8513.53
ATA/USDT:USDT,2024-02-27,0.1497,short,2,2024-02-27,0.15344249999999998,SL,0,-2.72,-5.44,-8444.06
1000RATS/USDT:USDT,2024-03-07,0.40962,short,2,2024-03-07,0.38913899999999996,TP,0,4.78,9.56,14718.1
BOBA/USDT:USDT,2024-03-21,0.6128,short,2,2024-03-21,0.58216,TP,0,4.78,9.56,14929.16
BOBA/USDT:USDT,2024-03-25,0.678,short,2,2024-03-25,0.6441,TP,0,4.78,9.56,15143.24
API3/USDT:USDT,2024-03-26,3.9339,short,2,2024-03-26,4.0322474999999995,SL,0,-2.72,-5.44,-8740.65
AEVO/USDT:USDT,2024-04-01,2.979,short,2,2024-04-01,2.83005,TP,0,4.78,9.56,15235.06
AXL/USDT:USDT,2024-04-05,1.6553,short,2,2024-04-05,1.572535,TP,0,4.78,9.56,15453.53
ATA/USDT:USDT,2024-04-07,0.1947,short,2,2024-04-07,0.1995675,SL,0,-2.72,-5.44,-8919.74
ATA/USDT:USDT,2024-04-15,0.1598,short,2,2024-04-15,0.15181,TP,0,4.78,9.56,15547.22
1000RATS/USDT:USDT,2024-04-19,0.13,short,2,2024-04-19,0.1235,TP,0,4.78,9.56,15770.17
BOBA/USDT:USDT,2024-04-21,0.4226,short,2,2024-04-21,0.4331649999999999,SL,0,-2.72,-5.44,-9102.51
BIGTIME/USDT:USDT,2024-04-23,0.201,short,2,2024-04-23,0.20602499999999999,SL,0,-2.72,-5.44,-9028.23
ACH/USDT:USDT,2024-04-30,0.032871,short,2,2024-04-30,0.031227449999999997,TP,0,4.78,9.56,15736.32
ATA/USDT:USDT,2024-05-05,0.1964,short,2,2024-05-05,0.18658,TP,0,4.78,9.56,15961.98
AXL/USDT:USDT,2024-05-10,1.1101,short,2,2024-05-10,1.054595,TP,0,4.78,9.56,16190.87
AXL/USDT:USDT,2024-05-13,1.0117,short,2,2024-05-13,0.9611149999999999,TP,0,4.78,9.56,16423.05
AUCTION/USDT:USDT,2024-05-14,14.49,short,2,2024-05-15,14.85225,SL,1,-2.72,-5.44,-9479.35
BB/USDT:USDT,2024-05-16,0.4209,short,2,2024-05-16,0.39985499999999996,TP,0,4.78,9.56,16522.62
BB/USDT:USDT,2024-05-18,0.3387,short,2,2024-05-18,0.32176499999999997,TP,0,4.78,9.56,16759.56
BB/USDT:USDT,2024-05-21,0.3571,short,2,2024-05-21,0.33924499999999996,TP,0,4.78,9.56,16999.89
AUDIO/USDT:USDT,2024-05-28,0.2047,short,2,2024-05-28,0.20981749999999996,SL,0,-2.72,-5.44,-9812.3
1000BONK/USDT:USDT,2024-05-31,0.033861,short,2,2024-05-31,0.034707524999999996,SL,0,-2.72,-5.44,-9732.23
BRETT/USDT:USDT,2024-06-04,0.1144,short,2,2024-06-04,0.10868,TP,0,4.78,9.56,16963.4
AUCTION/USDT:USDT,2024-06-05,21.3,short,2,2024-06-05,21.8325,SL,0,-2.72,-5.44,-9791.23
BB/USDT:USDT,2024-06-13,0.5312,short,2,2024-06-13,0.50464,TP,0,4.78,9.56,17066.25
ADA/USDT:USDT,2024-07-16,0.4446,short,2,2024-07-17,0.455715,SL,1,-2.72,-5.44,-9850.6
1000RATS/USDT:USDT,2024-07-20,0.11764,short,2,2024-07-20,0.12058099999999998,SL,0,-2.72,-5.44,-9770.22
ACH/USDT:USDT,2024-07-22,0.026062,short,2,2024-07-22,0.024758899999999997,TP,0,4.78,9.56,17029.62
BIGTIME/USDT:USDT,2024-07-27,0.1036,short,2,2024-07-27,0.10618999999999999,SL,0,-2.72,-5.44,-9829.45
AIOZ/USDT:USDT,2024-08-02,0.6183,short,2,2024-08-02,0.5873849999999999,TP,0,4.78,9.56,17132.87
ARK/USDT:USDT,2024-09-25,0.4347,short,2,2024-09-25,0.41296499999999997,TP,0,4.78,9.56,17378.55
1000RATS/USDT:USDT,2024-09-27,0.15584,short,2,2024-09-27,0.159736,SL,0,-2.72,-5.44,-10030.86
ALEO/USDT:USDT,2024-10-07,3.667,short,2,2024-10-07,3.4836499999999995,TP,0,4.78,9.56,17483.92
BANANA/USDT:USDT,2024-10-16,58.39,short,2,2024-10-17,55.4705,TP,1,4.78,9.56,17734.64
1000BONK/USDT:USDT,2024-10-19,0.023597,short,2,2024-10-19,0.024186924999999998,SL,0,-2.72,-5.44,-10236.39
ALEO/USDT:USDT,2024-10-25,1.917,short,2,2024-10-25,1.82115,TP,0,4.78,9.56,17842.16
ALEO/USDT:USDT,2024-10-28,1.612,short,2,2024-10-28,1.5314,TP,0,4.78,9.56,18098.02
ARPA/USDT:USDT,2024-10-29,0.04439,short,2,2024-10-29,0.04549974999999999,SL,0,-2.72,-5.44,-10446.13
ALEO/USDT:USDT,2024-10-30,1.48,short,2,2024-10-30,1.517,SL,0,-2.72,-5.44,-10360.89
ALEO/USDT:USDT,2024-11-06,1.185,short,2,2024-11-06,1.2146249999999998,SL,0,-2.72,-5.44,-10276.35
BANANA/USDT:USDT,2024-11-07,56.53,short,2,2024-11-07,57.94325,SL,0,-2.72,-5.44,-10192.49
BOBA/USDT:USDT,2024-11-28,0.2671,short,2,2024-11-28,0.253745,TP,0,4.78,9.56,17765.65
ACS/USDT:USDT,2024-12-07,0.002177,short,2,2024-12-08,0.00206815,TP,1,4.78,9.56,18020.41
BAN/USDT:USDT,2024-12-12,0.0921,short,2,2024-12-12,0.087495,TP,0,4.78,9.56,18278.82
BTC/USDT:USDT,2024-12-25,98628.0,short,2,2024-12-27,93696.59999999999,TP,2,4.78,9.56,18540.94
AAVE/USDT:USDT,2024-12-29,354.51,short,2,2024-12-29,336.7845,TP,0,4.78,9.56,18806.82
ACX/USDT:USDT,2025-01-02,0.5721,short,2,2025-01-02,0.5864025,SL,0,-2.72,-5.44,-10855.25
AUCTION/USDT:USDT,2025-01-03,17.07,short,2,2025-01-03,17.49675,SL,0,-2.72,-5.44,-10766.67
AIXBT/USDT:USDT,2025-01-04,0.5172,short,2,2025-01-04,0.49133999999999994,TP,0,4.78,9.56,18766.45
ALCH/USDT:USDT,2025-01-11,0.1346,short,2,2025-01-11,0.12786999999999998,TP,0,4.78,9.56,19035.56
ACT/USDT:USDT,2025-01-15,0.2493,short,2,2025-01-15,0.236835,TP,0,4.78,9.56,19308.53
BAN/USDT:USDT,2025-01-16,0.0683,short,2,2025-01-16,0.0700075,SL,0,-2.72,-5.44,-11144.84
ALCH/USDT:USDT,2025-01-18,0.1155,short,2,2025-01-18,0.109725,TP,0,4.78,9.56,19425.59
ACT/USDT:USDT,2025-01-30,0.1876,short,2,2025-01-30,0.19228999999999996,SL,0,-2.72,-5.44,-11212.41
ACS/USDT:USDT,2025-04-29,0.001478,short,2,2025-04-29,0.0015149499999999997,SL,0,-2.72,-5.44,-11120.91
ALCH/USDT:USDT,2025-05-02,0.1769,short,2,2025-05-02,0.1813225,SL,0,-2.72,-5.44,-11030.17
ASR/USDT:USDT,2025-05-07,1.838,short,2,2025-05-07,1.7461,TP,0,4.78,9.56,19225.73
ALPINE/USDT:USDT,2025-05-09,0.974,short,2,2025-05-09,0.9983499999999998,SL,0,-2.72,-5.44,-11097.04
BMT/USDT:USDT,2025-05-11,0.1114,short,2,2025-05-12,0.10583,TP,1,4.78,9.56,19342.29
B3/USDT:USDT,2025-05-14,0.005695,short,2,2025-05-14,0.005837375,SL,0,-2.72,-5.44,-11164.32
BOBA/USDT:USDT,2025-05-19,0.1024,short,2,2025-05-19,0.09728,TP,0,4.78,9.56,19459.56
BRETT/USDT:USDT,2025-05-21,0.06726,short,2,2025-05-21,0.06894149999999999,SL,0,-2.72,-5.44,-11232.01
ANIME/USDT:USDT,2025-05-22,0.02389,short,2,2025-05-22,0.02448725,SL,0,-2.72,-5.44,-11140.36
AAVE/USDT:USDT,2025-05-23,256.75,short,2,2025-05-23,243.9125,TP,0,4.78,9.56,19417.79
BOBA/USDT:USDT,2025-05-26,0.0997,short,2,2025-05-26,0.10219249999999999,SL,0,-2.72,-5.44,-11207.9
ANIME/USDT:USDT,2025-06-08,0.03283,short,2,2025-06-08,0.031188499999999997,TP,0,4.78,9.56,19535.52
