bot,leverage,period,trades,wr,pf,return,mdd,sharpe,min_cap,bankrupt
surge,1,2023-07-01~2026-03-01,96,57.3,2.91,39.9,-2.6,2.71,977566,False
surge,2,2023-07-01~2026-03-01,96,57.3,2.95,94.6,-5.1,2.71,955540,False
surge,3,2023-07-01~2026-03-01,96,57.3,2.99,168.7,-7.6,2.71,933916,False
surge,5,2023-07-01~2026-03-01,96,57.3,3.03,332.5,-12.5,2.66,891854,False
surge,10,2023-07-01~2026-03-01,96,57.3,2.95,739.9,-23.1,2.4,793351,False
meanrevert,1,2023-07-01~2026-03-01,464,56.2,2.25,253.4,-3.0,5.12,994842,False
meanrevert,2,2023-07-01~2026-03-01,464,56.2,2.24,678.0,-5.9,5.02,989686,False
meanrevert,3,2023-07-01~2026-03-01,464,56.2,2.28,1101.8,-6.3,4.89,984534,False
meanrevert,5,2023-07-01~2026-03-01,464,56.2,2.32,1949.7,-8.8,4.55,974240,False
meanrevert,10,2023-07-01~2026-03-01,464,56.2,2.34,4064.3,-17.2,3.75,948559,False
meanrevert_adaptive,1,2023-07-01~2026-03-01,464,56.2,2.3,1068.6,-5.4,4.87,992264,False
meanrevert_adaptive,2,2023-07-01~2026-03-01,464,56.2,2.3,1068.6,-5.4,4.87,992264,False
meanrevert_adaptive,3,2023-07-01~2026-03-01,464,56.2,2.3,1068.6,-5.4,4.87,992264,False
meanrevert_adaptive,5,2023-07-01~2026-03-01,464,56.2,2.3,1068.6,-5.4,4.87,992264,False
meanrevert_adaptive,10,2023-07-01~2026-03-01,464,56.2,2.3,1068.6,-5.4,4.87,992264,False
meanrevert_tight,1,2023-07-01~2026-03-01,257,54.5,2.93,121.5,-2.4,4.58,992724,False
meanrevert_tight,2,2023-07-01~2026-03-01,257,54.5,2.86,360.1,-4.8,4.56,985478,False
meanrevert_tight,3,2023-07-01~2026-03-01,257,54.5,2.88,625.8,-7.1,4.53,978260,False
meanrevert_tight,5,2023-07-01~2026-03-01,257,54.5,2.93,1162.9,-8.7,4.33,963910,False
meanrevert_tight,10,2023-07-01~2026-03-01,257,54.5,3.0,2489.4,-8.1,3.78,928537,False
meanrevert_hybrid,1,2023-07-01~2026-03-01,483,56.7,2.3,281.3,-2.6,5.36,994842,False
meanrevert_hybrid,2,2023-07-01~2026-03-01,483,56.7,2.29,732.9,-5.2,5.2,989686,False
meanrevert_hybrid,3,2023-07-01~2026-03-01,483,56.7,2.33,1186.2,-6.3,5.04,984534,False
meanrevert_hybrid,5,2023-07-01~2026-03-01,483,56.7,2.38,2090.5,-8.8,4.66,974240,False
meanrevert_hybrid,10,2023-07-01~2026-03-01,483,56.7,2.39,4344.2,-17.2,3.8,948559,False
meanrevert_newlist,1,2023-07-01~2026-03-01,1,100.0,999,1.2,-0.0,0.6,999670,False
meanrevert_newlist,2,2023-07-01~2026-03-01,1,100.0,999,2.3,-0.1,0.6,999340,False
meanrevert_newlist,3,2023-07-01~2026-03-01,1,100.0,999,3.5,-0.1,0.6,999010,False
meanrevert_newlist,5,2023-07-01~2026-03-01,1,100.0,999,5.8,-0.2,0.6,998350,False
meanrevert_newlist,10,2023-07-01~2026-03-01,1,100.0,999,11.7,-0.3,0.6,996700,False
meanrevert_tuned,1,2023-07-01~2026-03-01,495,45.5,2.05,215.5,-8.4,4.21,986179,False
meanrevert_tuned,2,2023-07-01~2026-03-01,495,45.5,1.98,600.7,-16.1,4.0,972269,False
meanrevert_tuned,3,2023-07-01~2026-03-01,495,45.5,1.96,990.8,-21.7,3.87,958281,False
meanrevert_tuned,5,2023-07-01~2026-03-01,495,45.5,1.99,1762.8,-20.4,3.74,930112,False
meanrevert_tuned,10,2023-07-01~2026-03-01,495,45.5,2.02,3679.2,-25.6,3.16,859025,False
