bot,leverage,period,trades,wr,pf,return,mdd,sharpe,min_cap,bankrupt
surge,1,2020-02-01~2026-03-01,278,47.8,2.05,86.2,-4.4,2.03,990649,False
surge,2,2020-02-01~2026-03-01,278,47.8,2.09,229.2,-8.6,2.01,981346,False
surge,3,2020-02-01~2026-03-01,278,47.8,2.04,383.0,-12.7,1.91,972091,False
surge,5,2020-02-01~2026-03-01,278,47.8,1.98,689.5,-20.3,1.78,953726,False
surge,10,2020-02-01~2026-03-01,278,47.8,1.96,1457.8,-27.3,1.63,908650,False
meanrevert,1,2020-02-01~2026-03-01,806,57.8,2.45,624.4,-3.0,4.63,969779,False
meanrevert,2,2020-02-01~2026-03-01,806,57.8,2.45,1419.5,-6.0,4.18,940119,False
meanrevert,3,2020-02-01~2026-03-01,806,57.8,2.47,2215.5,-8.9,3.93,911023,False
meanrevert,5,2020-02-01~2026-03-01,806,57.8,2.48,3806.6,-14.5,3.46,854534,False
meanrevert,10,2020-02-01~2026-03-01,806,57.8,2.48,7776.1,-27.7,2.76,723291,False
meanrevert_tight,1,2020-02-01~2026-03-01,430,56.0,3.13,304.8,-2.4,4.06,982748,False
meanrevert_tight,2,2020-02-01~2026-03-01,430,56.0,3.22,780.9,-3.8,3.89,965718,False
meanrevert_tight,3,2020-02-01~2026-03-01,430,56.0,3.22,1255.2,-5.6,3.66,948908,False
meanrevert_tight,5,2020-02-01~2026-03-01,430,56.0,3.21,2203.7,-9.3,3.31,915938,False
meanrevert_tight,10,2020-02-01~2026-03-01,430,56.0,3.2,4573.7,-16.3,2.79,837221,False
meanrevert_hybrid,1,2020-02-01~2026-03-01,838,57.6,2.45,649.8,-3.0,4.66,969779,False
meanrevert_hybrid,2,2020-02-01~2026-03-01,838,57.6,2.44,1469.6,-6.0,4.2,940119,False
meanrevert_hybrid,3,2020-02-01~2026-03-01,838,57.6,2.45,2290.1,-8.9,3.92,911023,False
meanrevert_hybrid,5,2020-02-01~2026-03-01,838,57.6,2.46,3930.9,-14.5,3.45,854534,False
meanrevert_hybrid,10,2020-02-01~2026-03-01,838,57.6,2.46,8025.1,-27.7,2.75,723291,False
meanrevert_adaptive,1,2020-02-01~2026-03-01,806,57.8,2.49,2008.6,-9.2,3.77,954000,False
meanrevert_adaptive,2,2020-02-01~2026-03-01,806,57.8,2.49,2008.6,-9.2,3.77,954000,False
meanrevert_adaptive,3,2020-02-01~2026-03-01,806,57.8,2.49,2008.6,-9.2,3.77,954000,False
meanrevert_adaptive,5,2020-02-01~2026-03-01,806,57.8,2.49,2008.6,-9.2,3.77,954000,False
meanrevert_adaptive,10,2020-02-01~2026-03-01,806,57.8,2.49,2008.6,-9.2,3.77,954000,False
meanrevert_tuned,1,2020-02-01~2026-03-01,843,46.7,2.07,542.2,-7.2,3.82,974895,False
meanrevert_tuned,2,2020-02-01~2026-03-01,843,46.7,2.07,1254.2,-6.6,3.53,950202,False
meanrevert_tuned,3,2020-02-01~2026-03-01,843,46.7,2.09,1970.4,-7.4,3.33,925922,False
meanrevert_tuned,5,2020-02-01~2026-03-01,843,46.7,2.1,3400.5,-12.1,2.99,878597,False
meanrevert_tuned,10,2020-02-01~2026-03-01,843,46.7,2.11,6959.5,-23.3,2.42,767437,False
