Bot,TP_mult,SL_mult,TP_pct,SL_pct,Leverage,PF,Return,MDD,WR,Sharpe,Trades,AvgHold_d
surge,0.6,0.6,3.0,1.2,3,2.18,249.0,-40.0,52.7,0.63,279,1.0
surge,0.6,0.6,3.0,1.2,5,2.17,466.9,-41.6,52.7,0.74,279,1.0
surge,0.6,0.6,3.0,1.2,7,2.18,684.4,-52.4,52.7,0.8,279,1.0
surge,0.6,0.6,3.0,1.2,10,2.17,1010.4,-62.6,52.7,0.88,279,1.0
surge,0.6,0.6,3.0,1.2,15,2.16,1557.3,-70.6,52.7,0.96,279,1.0
surge,0.6,0.6,3.0,1.2,20,2.16,2103.2,-76.1,52.7,1.02,279,1.0
surge,0.6,0.8,3.0,1.6,3,1.69,168.5,-47.8,52.7,0.56,279,1.0
surge,0.6,0.8,3.0,1.6,5,1.69,332.8,-48.9,52.7,0.69,279,1.0
surge,0.6,0.8,3.0,1.6,7,1.69,495.9,-56.0,52.7,0.77,279,1.0
surge,0.6,0.8,3.0,1.6,10,1.69,738.3,-68.6,52.7,0.87,279,1.0
surge,0.6,0.8,3.0,1.6,15,1.68,1140.4,-79.5,52.7,1.0,279,1.0
surge,0.6,0.8,3.0,1.6,20,1.68,1549.2,-83.8,52.7,1.1,279,1.0
surge,0.6,1.0,3.0,2.0,3,1.44,113.7,-50.9,53.8,0.51,279,1.0
surge,0.6,1.0,3.0,2.0,5,1.46,233.9,-56.9,53.8,0.67,279,1.0
surge,0.6,1.0,3.0,2.0,7,1.45,356.4,-59.4,53.8,0.77,279,1.0
surge,0.6,1.0,3.0,2.0,10,1.45,537.7,-72.1,53.8,0.89,279,1.0
surge,0.6,1.0,3.0,2.0,15,1.45,835.4,-85.3,53.8,1.05,279,1.0
surge,0.6,1.0,3.0,2.0,20,1.44,1119.2,-92.3,53.8,1.21,279,1.0
surge,0.6,1.2,3.0,2.4,3,1.22,56.7,-51.2,53.8,0.44,279,1.0
surge,0.6,1.2,3.0,2.4,5,1.21,103.1,-70.3,53.8,0.65,279,1.0
surge,0.6,1.2,3.0,2.4,7,1.21,161.3,-76.1,53.8,0.8,279,1.0
surge,0.6,1.2,3.0,2.4,10,1.21,249.2,-79.1,53.8,0.96,279,1.0
surge,0.6,1.2,3.0,2.4,15,1.19,359.5,-87.9,53.8,1.18,279,1.0
surge,0.6,1.2,3.0,2.4,20,1.17,435.5,-103.9,53.8,1.37,279,1.0
surge,0.6,1.4,3.0,2.8,3,1.11,26.6,-51.6,54.8,0.39,279,1.1
surge,0.6,1.4,3.0,2.8,5,1.09,41.6,-70.7,54.8,0.6,279,1.1
surge,0.6,1.4,3.0,2.8,7,1.08,52.6,-84.2,54.8,0.79,279,1.1
surge,0.6,1.4,3.0,2.8,10,1.06,59.4,-102.7,54.8,0.65,279,1.1
surge,0.6,1.4,3.0,2.8,15,1.03,47.2,-127.4,54.8,1.08,279,1.1
surge,0.6,1.4,3.0,2.8,20,1.0,0.2,-146.5,54.8,1.04,279,1.1
surge,0.8,0.6,4.0,1.2,3,2.41,359.3,-31.5,47.7,0.73,279,1.0
surge,0.8,0.6,4.0,1.2,5,2.41,650.9,-39.5,47.7,0.82,279,1.0
surge,0.8,0.6,4.0,1.2,7,2.41,943.1,-46.4,47.7,0.86,279,1.0
surge,0.8,0.6,4.0,1.2,10,2.41,1380.6,-55.4,47.7,0.91,279,1.0
surge,0.8,0.6,4.0,1.2,15,2.41,2110.9,-67.1,47.7,0.96,279,1.0
surge,0.8,0.6,4.0,1.2,20,2.41,2840.4,-67.9,47.7,1.0,279,1.0
surge,0.8,0.8,4.0,1.6,3,1.9,269.9,-37.1,47.7,0.65,279,1.0
surge,0.8,0.8,4.0,1.6,5,1.87,502.9,-42.1,47.7,0.75,279,1.0
surge,0.8,0.8,4.0,1.6,7,1.87,733.2,-53.0,47.7,0.81,279,1.0
surge,0.8,0.8,4.0,1.6,10,1.87,1081.8,-57.0,47.7,0.88,279,1.0
surge,0.8,0.8,4.0,1.6,15,1.87,1661.9,-69.5,47.7,0.96,279,1.0
surge,0.8,0.8,4.0,1.6,20,1.88,2241.9,-76.5,47.7,1.01,279,1.0
