Variant,FR_thr,TP,SL,Leverage,PF,Return,MDD,WR,Sharpe,Trades
base,0.03,1.5,0.8,3,3.02,138.2,-21.3,71.5,0.64,1577
base,0.03,1.5,0.8,5,3.0,324.4,-33.6,71.5,0.73,1577
base,0.03,1.5,0.8,10,2.98,1689.4,-58.4,71.5,0.94,1577
base,0.03,1.5,1.0,3,2.55,119.8,-21.6,71.5,0.6,1577
base,0.03,1.5,1.0,5,2.54,271.0,-34.1,71.5,0.69,1577
base,0.03,1.5,1.0,10,2.52,1267.4,-60.6,71.5,0.9,1577
base,0.03,1.5,1.5,3,1.84,80.3,-22.4,71.6,0.48,1576
base,0.03,1.5,1.5,5,1.84,166.8,-35.2,71.6,0.57,1576
base,0.03,1.5,1.5,10,1.84,606.2,-62.0,71.6,0.79,1576
base,0.03,1.5,2.0,3,1.43,47.7,-23.2,71.6,0.37,1576
base,0.03,1.5,2.0,5,1.44,91.2,-36.3,71.6,0.46,1576
base,0.03,1.5,2.0,10,1.44,261.9,-63.3,71.6,0.69,1576
base,0.03,1.5,3.0,3,1.03,3.5,-24.5,72.2,0.16,1575
base,0.03,1.5,3.0,5,1.03,5.5,-38.1,72.2,0.25,1575
base,0.03,1.5,3.0,10,1.02,9.7,-65.3,72.2,0.49,1575
base,0.03,2.0,0.8,3,3.8,261.9,-19.0,69.2,0.89,1577
base,0.03,2.0,0.8,5,3.79,751.6,-30.3,69.2,0.97,1577
base,0.03,2.0,0.8,10,3.91,4013.6,-45.7,69.2,1.14,1577
base,0.03,2.0,1.0,3,3.21,231.8,-19.3,69.2,0.84,1577
base,0.03,2.0,1.0,5,3.21,636.6,-30.8,69.2,0.92,1577
base,0.03,2.0,1.0,10,3.32,3527.9,-45.7,69.2,1.1,1577
base,0.03,2.0,1.5,3,2.31,167.3,-20.1,69.3,0.71,1576
base,0.03,2.0,1.5,5,2.32,413.6,-32.0,69.3,0.8,1576
base,0.03,2.0,1.5,10,2.37,2319.9,-45.7,69.3,1.01,1576
base,0.03,2.0,2.0,3,1.8,116.2,-21.0,69.4,0.59,1576
base,0.03,2.0,2.0,5,1.81,260.4,-33.2,69.4,0.68,1576
base,0.03,2.0,2.0,10,1.83,1180.9,-59.6,69.4,0.88,1576
base,0.03,2.0,3.0,3,1.3,49.6,-22.2,70.2,0.38,1575
base,0.03,2.0,3.0,5,1.31,94.9,-35.0,70.2,0.46,1575
base,0.03,2.0,3.0,10,1.31,272.3,-61.7,70.2,0.69,1575
base,0.03,3.0,0.8,3,4.78,627.5,-16.1,64.0,1.3,1577
base,0.03,3.0,0.8,5,4.89,2386.3,-23.0,64.0,1.41,1577
base,0.03,3.0,0.8,10,4.68,7894.6,-45.5,64.0,1.37,1577
base,0.03,3.0,1.0,3,4.04,557.0,-16.1,64.0,1.24,1577
base,0.03,3.0,1.0,5,4.13,2102.5,-23.0,64.0,1.34,1577
base,0.03,3.0,1.0,10,3.97,7326.8,-45.5,64.0,1.34,1577
base,0.03,3.0,1.5,3,2.92,413.3,-16.1,64.1,1.1,1576
base,0.03,3.0,1.5,5,2.97,1420.7,-26.7,64.1,1.18,1576
base,0.03,3.0,1.5,10,2.93,5948.5,-45.5,64.1,1.25,1576
base,0.03,3.0,2.0,3,2.29,303.9,-17.0,64.3,0.96,1576
base,0.03,3.0,2.0,5,2.33,919.2,-27.6,64.3,1.04,1576
base,0.03,3.0,2.0,10,2.34,4605.1,-45.5,64.3,1.18,1576
base,0.03,3.0,3.0,3,1.66,167.9,-18.5,65.3,0.72,1574
base,0.03,3.0,3.0,5,1.68,413.5,-29.6,65.3,0.8,1574
base,0.03,3.0,3.0,10,1.73,2291.3,-45.7,65.3,1.01,1574
base,0.03,5.0,0.8,3,5.54,1734.8,-15.1,53.6,1.87,1576
base,0.03,5.0,0.8,5,5.52,4975.5,-22.8,53.6,1.92,1576
base,0.03,5.0,0.8,10,5.24,13077.6,-45.2,53.6,1.61,1576
base,0.03,5.0,1.0,3,4.67,1524.6,-15.8,53.6,1.79,1576
base,0.03,5.0,1.0,5,4.69,4624.4,-22.8,53.6,1.87,1576
