key,bot_type,leverage,trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe_ratio,final_capital
levburn_sec_lev3,levburn_sec,3,945,81.7,7.88,1276.40,-4.40,7.07,13763994
levburn_sec_conservative_lev3,levburn_sec_conservative,3,945,88.7,11.64,878.20,-5.90,6.73,9782030
levburn_sec_fr_extreme_lev3,levburn_sec_fr_extreme,3,944,76.2,5.55,1556.20,-3.80,6.51,16562079
levburn_sec_lev5,levburn_sec,5,945,81.7,7.91,2139.60,-4.90,6.47,22396256
levburn_sec_conservative_lev5,levburn_sec_conservative,5,945,88.7,11.69,1476.00,-6.70,6.32,15760043
levburn_sec_lev7,levburn_sec,7,945,81.7,7.92,3002.90,-5.10,6.02,31028691
levburn_sec_conservative_lev7,levburn_sec_conservative,7,945,88.7,11.73,2073.80,-7.20,6.02,21737801
levburn_sec_fr_extreme_lev5,levburn_sec_fr_extreme,5,944,76.2,5.57,2606.00,-4.20,5.88,27059704
levburn_sec_aggressive_lev3,levburn_sec_aggressive,3,944,66.6,4.54,2026.70,-3.50,5.71,21266745
levburn_sec_conservative_lev10,levburn_sec_conservative,10,945,88.7,11.76,2970.40,-7.60,5.64,30704236
levburn_sec_lev10,levburn_sec,10,945,81.7,7.93,4297.70,-5.30,5.57,43976624
levburn_sec_fr_extreme_lev7,levburn_sec_fr_extreme,7,944,76.2,5.57,3655.70,-4.30,5.45,37557257
levburn_sec_conservative_lev15,levburn_sec_conservative,15,945,88.7,11.78,4464.80,-7.90,5.19,45647981
levburn_sec_aggressive_lev5,levburn_sec_aggressive,5,944,66.6,4.55,3390.10,-3.70,5.10,34900805
levburn_sec_lev15,levburn_sec,15,945,81.7,7.94,6455.60,-5.50,5.03,65555515
levburn_sec_fr_extreme_lev10,levburn_sec_fr_extreme,10,944,76.2,5.58,5230.20,-5.50,4.98,53301704
levburn_sec_conservative_lev20,levburn_sec_conservative,20,945,88.7,11.79,5959.10,-8.10,4.86,60590970
meanrevert_hybrid_lev1,meanrevert_hybrid,1,822,58.0,2.46,648.60,-2.90,4.74,7485882
meanrevert_lev1,meanrevert,1,790,58.2,2.46,623.20,-2.90,4.71,7232355
levburn_sec_aggressive_lev7,levburn_sec_aggressive,7,944,66.6,4.55,4753.30,-4.30,4.69,48532698
levburn_sec_lev20,levburn_sec,20,945,81.7,7.94,8613.40,-5.60,4.64,87133795
levburn_sec_fr_extreme_lev15,levburn_sec_fr_extreme,15,944,76.2,5.58,7854.00,-8.10,4.43,79539630
meanrevert_hybrid_lev2,meanrevert_hybrid,2,822,58.0,2.45,1467.30,-5.80,4.30,15673029
meanrevert_lev2,meanrevert,2,790,58.2,2.46,1417.20,-5.80,4.28,15171753
