symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
FTT/USDT:USDT,2020-03-16,2.089,long,5,2020-03-16,2.06811,SL,0,-1.22,-6.1,-18300.0
CHZ/USDT:USDT,2020-04-05,0.006834,short,5,2020-04-05,0.00662898,TP,0,2.78,13.9,40936.89
COS/USDT:USDT,2020-04-11,0.0054,short,5,2020-04-11,0.0052380000000000005,TP,0,2.78,13.9,42643.96
CELR/USDT:USDT,2020-04-26,0.00195,short,5,2020-04-26,0.0019695,SL,0,-1.22,-6.1,-19494.64
FET/USDT:USDT,2020-04-27,0.0188,short,5,2020-04-27,0.018236,TP,0,2.78,13.9,43609.28
DOGE/USDT:USDT,2020-04-28,0.0023459,short,5,2020-04-29,0.002369359,SL,1,-1.22,-6.1,-19935.94
CHZ/USDT:USDT,2020-05-09,0.009892,short,5,2020-05-09,0.00959524,TP,0,2.78,13.9,44596.46
CELR/USDT:USDT,2020-05-18,0.00259,short,5,2020-05-18,0.0026159,SL,0,-1.22,-6.1,-20387.22
BNT/USDT:USDT,2020-05-21,0.273,short,5,2020-05-21,0.26481,TP,0,2.78,13.9,45605.99
DENT/USDT:USDT,2020-05-28,0.000213,short,5,2020-05-28,0.00020661,TP,0,2.78,13.9,47507.76
CVC/USDT:USDT,2020-06-07,0.02818,short,5,2020-06-07,0.0273346,TP,0,2.78,13.9,49488.83
BTC/USDT:USDT,2020-06-11,9880.5,short,5,2020-06-11,9584.085,TP,0,2.78,13.9,51552.52
DENT/USDT:USDT,2020-07-04,0.0002152,short,5,2020-07-04,0.000208744,TP,0,2.78,13.9,53702.26
DENT/USDT:USDT,2020-07-05,0.0002123,short,5,2020-07-05,0.00020593100000000002,TP,0,2.78,13.9,55941.64
DASH/USDT:USDT,2020-07-06,67.24,long,5,2020-07-06,69.2572,TP,0,2.78,13.9,58274.41
DOGE/USDT:USDT,2020-07-11,0.0035313,short,5,2020-07-11,0.0035666129999999997,SL,0,-1.22,-6.1,-26640.08
CTSI/USDT:USDT,2020-07-12,0.05286,short,5,2020-07-12,0.0512742,TP,0,2.78,13.9,59593.56
ALGO/USDT:USDT,2020-07-19,0.3558,short,5,2020-07-19,0.345126,TP,0,2.78,13.9,62078.61
COTI/USDT:USDT,2020-07-23,0.04105,short,5,2020-07-23,0.0398185,TP,0,2.78,13.9,64667.29
FUN/USDT:USDT,2020-07-25,0.00478,short,5,2020-07-25,0.0046366,TP,0,2.78,13.9,67363.91
FUN/USDT:USDT,2020-07-26,0.004558,short,5,2020-07-26,0.004421260000000001,TP,0,2.78,13.9,69500.0
FTT/USDT:USDT,2020-07-30,3.326,short,5,2020-07-30,3.35926,SL,0,-1.22,-6.1,-30500.0
CHZ/USDT:USDT,2020-08-02,0.013413,short,5,2020-08-02,0.013010609999999999,TP,0,2.78,13.9,69500.0
DUSK/USDT:USDT,2020-08-08,0.0851,short,5,2020-08-08,0.082547,TP,0,2.78,13.9,69500.0
ALGO/USDT:USDT,2020-08-11,0.4704,short,5,2020-08-11,0.47510399999999997,SL,0,-1.22,-6.1,-30500.0
ANKR/USDT:USDT,2020-08-12,0.013563,short,5,2020-08-12,0.01315611,TP,0,2.78,13.9,69500.0
COMP/USDT:USDT,2020-08-14,205.02,short,5,2020-08-14,198.8694,TP,0,2.78,13.9,69500.0
COMP/USDT:USDT,2020-08-15,196.32,short,5,2020-08-15,190.4304,TP,0,2.78,13.9,69500.0
FET/USDT:USDT,2020-08-20,0.12792,short,5,2020-08-20,0.1240824,TP,0,2.78,13.9,69500.0
COMP/USDT:USDT,2020-09-11,171.23,short,5,2020-09-11,166.0931,TP,0,2.78,13.9,69500.0
COMP/USDT:USDT,2020-09-12,172.75,short,5,2020-09-12,174.4775,SL,0,-1.22,-6.1,-30500.0
CVC/USDT:USDT,2020-10-12,0.02969,short,5,2020-10-12,0.0287993,TP,0,2.78,13.9,69500.0
CVC/USDT:USDT,2020-10-13,0.02823,short,5,2020-10-13,0.0273831,TP,0,2.78,13.9,69500.0
BTC/USDT:USDT,2020-10-23,12968.5,short,5,2020-10-24,13098.185,SL,1,-1.22,-6.1,-30500.0
EGLD/USDT:USDT,2020-10-26,9.25,short,5,2020-10-26,8.9725,TP,0,2.78,13.9,69500.0
BNT/USDT:USDT,2020-10-30,0.6274,long,5,2020-10-30,0.621126,SL,0,-1.22,-6.1,-30500.0
