symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
FTT/USDT:USDT,2020-03-16,2.089,long,7,2020-03-16,2.072288,SL,0,-1.02,-7.14,-21420.0
CHZ/USDT:USDT,2020-04-05,0.006834,short,7,2020-04-05,0.00669732,TP,0,1.78,12.46,36579.32
COS/USDT:USDT,2020-04-11,0.0054,short,7,2020-04-11,0.005292,TP,0,1.78,12.46,37946.66
CELR/USDT:USDT,2020-04-26,0.00195,short,7,2020-04-26,0.0019656,SL,0,-1.02,-7.14,-22557.53
FET/USDT:USDT,2020-04-27,0.0188,short,7,2020-04-27,0.018424,TP,0,1.78,12.46,38521.9
DOGE/USDT:USDT,2020-04-28,0.0023459,short,7,2020-04-29,0.0023646672,SL,1,-1.02,-7.14,-22899.49
CHZ/USDT:USDT,2020-05-09,0.009892,short,7,2020-05-09,0.00969416,TP,0,1.78,12.46,39105.87
CELR/USDT:USDT,2020-05-18,0.00259,short,7,2020-05-18,0.0025382,TP,0,1.78,12.46,40567.64
BNT/USDT:USDT,2020-05-21,0.273,short,7,2020-05-21,0.26754,TP,0,1.78,12.46,42084.06
DENT/USDT:USDT,2020-05-28,0.000213,short,7,2020-05-28,0.00020873999999999998,TP,0,1.78,12.46,43657.16
CVC/USDT:USDT,2020-06-07,0.02818,short,7,2020-06-07,0.0276164,TP,0,1.78,12.46,45289.07
BTC/USDT:USDT,2020-06-11,9880.5,short,7,2020-06-11,9682.89,TP,0,1.78,12.46,46981.97
DENT/USDT:USDT,2020-07-04,0.0002152,short,7,2020-07-04,0.000210896,TP,0,1.78,12.46,48738.16
DENT/USDT:USDT,2020-07-05,0.0002123,short,7,2020-07-05,0.000208054,TP,0,1.78,12.46,50559.99
DASH/USDT:USDT,2020-07-06,67.24,long,7,2020-07-06,68.5848,TP,0,1.78,12.46,52449.93
DOGE/USDT:USDT,2020-07-11,0.0035313,short,7,2020-07-11,0.003460674,TP,0,1.78,12.46,54410.5
