symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
FTT/USDT:USDT,2020-03-16,2.089,long,7,2020-03-16,2.078555,SL,0,-0.72,-5.04,-15120.0
CHZ/USDT:USDT,2020-04-05,0.006834,short,7,2020-04-05,0.00673149,TP,0,1.28,8.96,26473.57
COS/USDT:USDT,2020-04-11,0.0054,short,7,2020-04-11,0.005319,TP,0,1.28,8.96,27185.18
CELR/USDT:USDT,2020-04-26,0.00195,short,7,2020-04-26,0.0019597499999999997,SL,0,-0.72,-5.04,-15702.71
FET/USDT:USDT,2020-04-27,0.0188,short,7,2020-04-27,0.018518,TP,0,1.28,8.96,27493.83
DOGE/USDT:USDT,2020-04-28,0.0023459,short,7,2020-04-28,0.0023107115,TP,0,1.28,8.96,28232.87
CHZ/USDT:USDT,2020-05-09,0.009892,short,7,2020-05-09,0.00974362,TP,0,1.28,8.96,28991.77
CELR/USDT:USDT,2020-05-18,0.00259,short,7,2020-05-18,0.00255115,TP,0,1.28,8.96,29771.07
BNT/USDT:USDT,2020-05-21,0.273,short,7,2020-05-21,0.268905,TP,0,1.28,8.96,30571.31
DENT/USDT:USDT,2020-05-28,0.000213,short,7,2020-05-28,0.000209805,TP,0,1.28,8.96,31393.07
CVC/USDT:USDT,2020-06-07,0.02818,short,7,2020-06-07,0.0277573,TP,0,1.28,8.96,32236.91
BTC/USDT:USDT,2020-06-11,9880.5,short,7,2020-06-11,9732.2925,TP,0,1.28,8.96,33103.44
DENT/USDT:USDT,2020-07-04,0.0002152,short,7,2020-07-04,0.000211972,TP,0,1.28,8.96,33993.26
DENT/USDT:USDT,2020-07-05,0.0002123,short,7,2020-07-05,0.00020911550000000001,TP,0,1.28,8.96,34907.0
DASH/USDT:USDT,2020-07-06,67.24,long,7,2020-07-06,68.24859999999998,TP,0,1.28,8.96,35845.3
DOGE/USDT:USDT,2020-07-11,0.0035313,short,7,2020-07-11,0.0034783304999999997,TP,0,1.28,8.96,36808.82
CTSI/USDT:USDT,2020-07-12,0.05286,short,7,2020-07-12,0.0520671,TP,0,1.28,8.96,37798.24
ALGO/USDT:USDT,2020-07-19,0.3558,short,7,2020-07-19,0.350463,TP,0,1.28,8.96,38814.26
COTI/USDT:USDT,2020-07-23,0.04105,short,7,2020-07-23,0.040434250000000005,TP,0,1.28,8.96,39857.59
FUN/USDT:USDT,2020-07-25,0.00478,short,7,2020-07-25,0.0047083,TP,0,1.28,8.96,40928.96
FUN/USDT:USDT,2020-07-26,0.004558,short,7,2020-07-26,0.0044896300000000005,TP,0,1.28,8.96,42029.13
FTT/USDT:USDT,2020-07-30,3.326,short,7,2020-07-30,3.27611,TP,0,1.28,8.96,43158.87
CHZ/USDT:USDT,2020-08-02,0.013413,short,7,2020-08-02,0.013211805,TP,0,1.28,8.96,44318.98
DUSK/USDT:USDT,2020-08-08,0.0851,short,7,2020-08-08,0.0838235,TP,0,1.28,8.96,44800.0
ALGO/USDT:USDT,2020-08-11,0.4704,short,7,2020-08-11,0.47275199999999995,SL,0,-0.72,-5.04,-25200.0
ANKR/USDT:USDT,2020-08-12,0.013563,short,7,2020-08-12,0.013359555,TP,0,1.28,8.96,44800.0
COMP/USDT:USDT,2020-08-14,205.02,short,7,2020-08-14,201.9447,TP,0,1.28,8.96,44800.0
COMP/USDT:USDT,2020-08-15,196.32,short,7,2020-08-15,193.37519999999998,TP,0,1.28,8.96,44800.0
FET/USDT:USDT,2020-08-20,0.12792,short,7,2020-08-20,0.1260012,TP,0,1.28,8.96,44800.0
COMP/USDT:USDT,2020-09-11,171.23,short,7,2020-09-11,168.66154999999998,TP,0,1.28,8.96,44800.0
COMP/USDT:USDT,2020-09-12,172.75,short,7,2020-09-12,170.15875,TP,0,1.28,8.96,44800.0
CVC/USDT:USDT,2020-10-12,0.02969,short,7,2020-10-12,0.02924465,TP,0,1.28,8.96,44800.0
CVC/USDT:USDT,2020-10-13,0.02823,short,7,2020-10-13,0.027806550000000003,TP,0,1.28,8.96,44800.0
BTC/USDT:USDT,2020-10-23,12968.5,short,7,2020-10-23,12773.9725,TP,0,1.28,8.96,44800.0
EGLD/USDT:USDT,2020-10-26,9.25,short,7,2020-10-26,9.11125,TP,0,1.28,8.96,44800.0
BNT/USDT:USDT,2020-10-30,0.6274,long,7,2020-10-30,0.6242629999999999,SL,0,-0.72,-5.04,-25200.0
ADA/USDT:USDT,2020-11-09,0.10642,short,7,2020-11-09,0.1048237,TP,0,1.28,8.96,44800.0
AAVE/USDT:USDT,2020-11-10,55.19,short,7,2020-11-10,54.36215,TP,0,1.28,8.96,44800.0
AAVE/USDT:USDT,2020-11-11,66.9,short,7,2020-11-11,65.8965,TP,0,1.28,8.96,44800.0
BNT/USDT:USDT,2020-11-20,1.0068,short,7,2020-11-20,0.9916979999999999,TP,0,1.28,8.96,44800.0
DUSK/USDT:USDT,2020-11-24,0.0585,short,7,2020-11-24,0.0576225,TP,0,1.28,8.96,44800.0
ADA/USDT:USDT,2020-11-25,0.16715,short,7,2020-11-25,0.16464275,TP,0,1.28,8.96,44800.0
ADA/USDT:USDT,2020-11-26,0.15527,short,7,2020-11-26,0.15294095,TP,0,1.28,8.96,44800.0
FTT/USDT:USDT,2020-12-02,4.477,short,7,2020-12-02,4.409845000000001,TP,0,1.28,8.96,44800.0
AUDIO/USDT:USDT,2020-12-10,0.18562,short,7,2020-12-10,0.18283570000000002,TP,0,1.28,8.96,44800.0
FUN/USDT:USDT,2020-12-11,0.003922,long,7,2020-12-11,0.0039808299999999994,TP,0,1.28,8.96,44800.0
BNT/USDT:USDT,2020-12-17,1.5465,short,7,2020-12-17,1.5233025,TP,0,1.28,8.96,44800.0
DUSK/USDT:USDT,2020-12-18,0.0532,long,7,2020-12-18,0.05399799999999999,TP,0,1.28,8.96,44800.0
FUN/USDT:USDT,2020-12-19,0.004105,short,7,2020-12-19,0.004043425,TP,0,1.28,8.96,44800.0
FIO/USDT:USDT,2020-12-22,0.0812,short,7,2020-12-22,0.079982,TP,0,1.28,8.96,44800.0
DOGE/USDT:USDT,2020-12-23,0.004517,short,7,2020-12-23,0.004449245,TP,0,1.28,8.96,44800.0
DOGE/USDT:USDT,2020-12-24,0.003769,short,7,2020-12-24,0.0037124650000000003,TP,0,1.28,8.96,44800.0
ARPA/USDT:USDT,2021-01-01,0.02386,short,7,2021-01-01,0.023502099999999998,TP,0,1.28,8.96,44800.0
FUN/USDT:USDT,2021-01-02,0.007323,short,7,2021-01-02,0.007213155,TP,0,1.28,8.96,44800.0
FUN/USDT:USDT,2021-01-03,0.005541,short,7,2021-01-03,0.005568704999999999,SL,0,-0.72,-5.04,-25200.0
DOGE/USDT:USDT,2021-01-04,0.009901,short,7,2021-01-04,0.009752485,TP,0,1.28,8.96,44800.0
DOGE/USDT:USDT,2021-01-05,0.009777,short,7,2021-01-05,0.009630344999999998,TP,0,1.28,8.96,44800.0
