symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BTC/USDT:USDT,2020-05-09,9800.02,short,1,2020-05-10,9212.0188,TP,1,5.78,5.78,8670.0
BAT/USDT:USDT,2020-05-10,0.2175,short,1,2020-05-10,0.20445,TP,0,5.78,5.78,7369.5
BNT/USDT:USDT,2020-05-19,0.3101,short,1,2020-05-19,0.291494,TP,0,5.78,5.78,8809.06
BNT/USDT:USDT,2020-05-20,0.29,short,1,2020-05-20,0.27259999999999995,TP,0,5.78,5.78,8885.44
BNT/USDT:USDT,2020-05-21,0.273,short,1,2020-05-21,0.25662,TP,0,5.78,5.78,8962.47
BNT/USDT:USDT,2020-06-01,0.6103,short,1,2020-06-01,0.628609,SL,0,-3.22,-3.22,-5036.22
ADA/USDT:USDT,2020-06-02,0.08096,short,1,2020-06-02,0.0761024,TP,0,5.78,5.78,8996.51
ADA/USDT:USDT,2020-06-03,0.07872,short,1,2020-06-03,0.0810816,SL,0,-3.22,-3.22,-5055.35
ADA/USDT:USDT,2020-06-05,0.08882,short,1,2020-06-07,0.08349079999999999,TP,2,5.78,5.78,9030.68
ADA/USDT:USDT,2020-06-08,0.08655,short,1,2020-06-10,0.081357,TP,2,5.78,5.78,9108.98
BNT/USDT:USDT,2020-06-09,0.7212,short,1,2020-06-10,0.7428359999999999,SL,1,-3.22,-3.22,-4313.37
ARPA/USDT:USDT,2020-06-11,0.01347,short,1,2020-06-11,0.012661799999999999,TP,0,5.78,5.78,9150.56
BNT/USDT:USDT,2020-06-12,0.7528,short,1,2020-06-12,0.7753840000000001,SL,0,-3.22,-3.22,-5141.91
BNT/USDT:USDT,2020-06-25,1.2494,short,1,2020-06-25,1.174436,TP,0,5.78,5.78,9185.31
ANKR/USDT:USDT,2020-07-23,0.00759,short,1,2020-07-23,0.0071346,TP,0,5.78,5.78,9264.95
ANKR/USDT:USDT,2020-07-24,0.007381,short,1,2020-07-24,0.00693814,TP,0,5.78,5.78,9345.28
ANKR/USDT:USDT,2020-07-25,0.006544,short,1,2020-07-25,0.00674032,SL,0,-3.22,-3.22,-5251.33
ANKR/USDT:USDT,2020-07-26,0.006572,short,1,2020-07-26,0.00617768,TP,0,5.78,5.78,9380.77
ANKR/USDT:USDT,2020-07-27,0.006391,short,1,2020-07-27,0.00600754,TP,0,5.78,5.78,9462.1
ADA/USDT:USDT,2020-07-28,0.1385,short,1,2020-07-28,0.142655,SL,0,-3.22,-3.22,-5316.98
BTC/USDT:USDT,2020-07-29,10908.0,short,1,2020-07-29,11235.24,SL,0,-3.22,-3.22,-5291.3
BSV/USDT:USDT,2020-07-30,212.8,short,1,2020-07-31,219.18400000000003,SL,1,-3.22,-3.22,-5265.74
BTC/USDT:USDT,2020-07-31,11105.0,short,1,2020-07-31,11438.15,SL,0,-3.22,-3.22,-4475.88
BSV/USDT:USDT,2020-08-02,247.1,short,1,2020-08-02,232.27399999999997,TP,0,5.78,5.78,9367.71
BSV/USDT:USDT,2020-08-03,218.0,short,1,2020-08-03,224.54,SL,0,-3.22,-3.22,-5263.93
BNT/USDT:USDT,2020-08-04,1.9358,short,1,2020-08-04,1.993874,SL,0,-3.22,-3.22,-5238.51
BNT/USDT:USDT,2020-08-05,1.9811,short,1,2020-08-05,2.040533,SL,0,-3.22,-3.22,-5213.21
BNT/USDT:USDT,2020-08-06,2.4488,short,1,2020-08-06,2.522264,SL,0,-3.22,-3.22,-5188.03
BNT/USDT:USDT,2020-08-07,2.5256,short,1,2020-08-07,2.3740639999999997,TP,0,5.78,5.78,9267.69
BNT/USDT:USDT,2020-08-08,2.4,short,1,2020-08-08,2.472,SL,0,-3.22,-3.22,-5207.73
BNT/USDT:USDT,2020-08-09,2.6346,short,1,2020-08-09,2.4765239999999995,TP,0,5.78,5.78,9302.89
ANKR/USDT:USDT,2020-08-10,0.01319,short,1,2020-08-10,0.0123986,TP,0,5.78,5.78,9383.54
ANKR/USDT:USDT,2020-08-11,0.016488,short,1,2020-08-11,0.015498719999999999,TP,0,5.78,5.78,9464.9
