date,capital
2020-01-16,999140.0
2020-01-17,999140.0
2020-01-18,999140.0
2020-01-19,1001512.0
2020-01-20,1001512.0
2020-01-21,1001512.0
2020-01-22,1001512.0
2020-01-23,1001512.0
2020-01-24,1013182.0
2020-01-25,1013182.0
2020-01-26,1013182.0
2020-01-27,1028248.0
2020-01-28,1028248.0
2020-01-29,1028248.0
2020-01-30,1030307.0
2020-01-31,1026300.0
2020-02-01,1023192.0
2020-02-02,1014843.0
2020-02-03,1010575.0
2020-02-04,1002502.0
2020-02-05,999173.0
2020-02-06,995871.0
2020-02-07,991723.0
2020-02-08,990526.0
2020-02-09,991534.0
2020-02-10,989912.0
2020-02-11,985841.0
2020-02-12,982595.0
2020-02-13,1003791.0
2020-02-14,1034896.0
2020-02-15,1069686.0
2020-02-16,1111242.0
2020-02-17,1155253.0
2020-02-18,1187500.0
2020-02-19,1187500.0
2020-02-20,1241390.0
2020-02-21,1254489.0
2020-02-22,1254489.0
2020-02-23,1254140.0
2020-02-24,1250557.0
2020-02-25,1251620.0
2020-02-26,1251620.0
2020-02-27,1248138.0
2020-02-28,1264290.0
2020-02-29,1263939.0
2020-03-01,1259748.0
2020-03-02,1256016.0
2020-03-03,1256016.0
2020-03-04,1256438.0
2020-03-05,1273752.0
2020-03-06,1273752.0
2020-03-07,1273752.0
2020-03-08,1273752.0
2020-03-09,1269634.0
2020-03-10,1265633.0
2020-03-11,1265283.0
2020-03-12,1264935.0
2020-03-13,1264935.0
2020-03-14,1264935.0
2020-03-15,1265998.0
2020-03-16,1255011.0
2020-03-17,1254661.0
2020-03-18,1254661.0
2020-03-19,1304570.0
2020-03-20,1304570.0
2020-03-21,1304570.0
2020-03-22,1304570.0
2020-03-23,1304570.0
2020-03-24,1304570.0
2020-03-25,1304570.0
2020-03-26,1304570.0
2020-03-27,1304570.0
2020-03-28,1304570.0
2020-03-29,1304570.0
2020-03-30,1290852.0
2020-03-31,1290852.0
2020-04-01,1290852.0
2020-04-02,1290852.0
2020-04-03,1290852.0
2020-04-04,1290852.0
2020-04-05,1290852.0
2020-04-06,1290852.0
2020-04-07,1290852.0
2020-04-08,1290852.0
2020-04-09,1290503.0
2020-04-10,1290503.0
2020-04-11,1291567.0
2020-04-12,1291216.0
2020-04-13,1291216.0
2020-04-14,1291216.0
2020-04-15,1291216.0
2020-04-16,1291216.0
2020-04-17,1291216.0
2020-04-18,1291216.0
2020-04-19,1291216.0
2020-04-20,1291216.0
2020-04-21,1291216.0
2020-04-22,1291216.0
2020-04-23,1291216.0
2020-04-24,1291216.0
2020-04-25,1291216.0
2020-04-26,1291216.0
2020-04-27,1292286.0
2020-04-28,1291933.0
2020-04-29,1291581.0
2020-04-30,1287342.0
2020-05-01,1288413.0
2020-05-02,1288060.0
2020-05-03,1287708.0
2020-05-04,1287708.0
2020-05-05,1284686.0
2020-05-06,1299434.0
2020-05-07,1299434.0
2020-05-08,1299084.0
2020-05-09,1299084.0
2020-05-10,1313710.0
2020-05-11,1378283.0
2020-05-12,1378283.0
2020-05-13,1374163.0
2020-05-14,1374163.0
2020-05-15,1374163.0
2020-05-16,1374163.0
2020-05-17,1370160.0
2020-05-18,1370160.0
2020-05-19,1370160.0
2020-05-20,1443812.0
2020-05-21,1524169.0
2020-05-22,1503314.0
2020-05-23,1502953.0
2020-05-24,1502953.0
2020-05-25,1502953.0
2020-05-26,1521164.0
2020-05-27,1522261.0
2020-05-28,1542988.0
2020-05-29,1544092.0
2020-05-30,1545207.0
2020-05-31,1546331.0
2020-06-01,1545960.0
2020-06-02,1625238.0
2020-06-03,1603362.0
2020-06-04,1582435.0
2020-06-05,1582435.0
2020-06-06,1582435.0
2020-06-07,1648844.0
2020-06-08,1648844.0
2020-06-09,1648844.0
2020-06-10,1661057.0
2020-06-11,1658010.0
2020-06-12,1677634.0
2020-06-13,1672959.0
2020-06-14,1672959.0
2020-06-15,1672959.0
2020-06-16,1667943.0
2020-06-17,1667943.0
2020-06-18,1667943.0
2020-06-19,1691211.0
2020-06-20,1685677.0
2020-06-21,1680300.0
2020-06-22,1680300.0
2020-06-23,1705244.0
2020-06-24,1705244.0
2020-06-25,1699312.0
2020-06-26,1716843.0
2020-06-27,1712249.0
2020-06-28,1706649.0
2020-06-29,1702389.0
2020-06-30,1702389.0
2020-07-01,1702389.0
2020-07-02,1727242.0
2020-07-03,1727242.0
2020-07-04,1755908.0
2020-07-05,1749090.0
2020-07-06,1750278.0
2020-07-07,1781515.0
2020-07-08,1781515.0
2020-07-09,1775188.0
2020-07-10,1776395.0
2020-07-11,1810894.0
2020-07-12,1812109.0
2020-07-13,1805445.0
2020-07-14,1806682.0
2020-07-15,1806682.0
2020-07-16,1846783.0
2020-07-17,1840166.0
2020-07-18,1877413.0
2020-07-19,1876995.0
2020-07-20,1876578.0
2020-07-21,1877849.0
2020-07-22,1869960.0
2020-07-23,1871243.0
2020-07-24,1890755.0
2020-07-25,1908299.0
2020-07-26,1926460.0
2020-07-27,1947879.0
2020-07-28,1966916.0
2020-07-29,1960300.0
2020-07-30,1954696.0
2020-07-31,1949139.0
2020-08-01,1943631.0
2020-08-02,1945869.0
2020-08-03,1965588.0
2020-08-04,1959948.0
2020-08-05,1953807.0
2020-08-06,1948681.0
2020-08-07,1953812.0
2020-08-08,1948292.0
2020-08-09,1926375.0
2020-08-10,1945643.0
2020-08-11,1940042.0
2020-08-12,2025295.0
2020-08-13,2024877.0
2020-08-14,2112285.0
2020-08-15,2171004.0
2020-08-16,2171004.0
2020-08-17,2148690.0
2020-08-18,2148690.0
2020-08-19,2149962.0
2020-08-20,2149962.0
2020-08-21,2170755.0
2020-08-22,2192281.0
2020-08-23,2192281.0
2020-08-24,2192281.0
2020-08-25,2192281.0
2020-08-26,2192281.0
2020-08-27,2192281.0
2020-08-28,2199006.0
2020-08-29,2199006.0
2020-08-30,2195996.0
2020-08-31,2195996.0
2020-09-01,2198761.0
2020-09-02,2198761.0
2020-09-03,2201585.0
2020-09-04,2201585.0
2020-09-05,2201585.0
2020-09-06,2201585.0
2020-09-07,2241754.0
2020-09-08,2241327.0
2020-09-09,2241327.0
2020-09-10,2233438.0
2020-09-11,2233438.0
2020-09-12,2233438.0
2020-09-13,2233438.0
2020-09-14,2233438.0
2020-09-15,2225550.0
2020-09-16,2225550.0
2020-09-17,2225550.0
2020-09-18,2225550.0
2020-09-19,2225550.0
2020-09-20,2225550.0
2020-09-21,2225550.0
2020-09-22,2225550.0
2020-09-23,2225550.0
2020-09-24,2225124.0
2020-09-25,2225124.0
2020-09-26,2262366.0
2020-09-27,2262366.0
2020-09-28,2262366.0
2020-09-29,2262366.0
2020-09-30,2300033.0
2020-10-01,2300033.0
2020-10-02,2300033.0
2020-10-03,2292144.0
2020-10-04,2284255.0
2020-10-05,2276366.0
2020-10-06,2276366.0
2020-10-07,2276366.0
2020-10-08,2276366.0
2020-10-09,2276366.0
2020-10-10,2276366.0
2020-10-11,2276366.0
2020-10-12,2270535.0
2020-10-13,2270535.0
2020-10-14,2270535.0
2020-10-15,2277346.0
2020-10-16,2299787.0
2020-10-17,2293813.0
2020-10-18,2293813.0
2020-10-19,2293813.0
2020-10-20,2293813.0
2020-10-21,2287824.0
2020-10-22,2286786.0
2020-10-23,2283697.0
2020-10-24,2283697.0
2020-10-25,2266829.0
2020-10-26,2293643.0
2020-10-27,2316784.0
2020-10-28,2341154.0
2020-10-29,2341817.0
2020-10-30,2341817.0
2020-10-31,2338107.0
2020-11-01,2339403.0
2020-11-02,2345940.0
2020-11-03,2345940.0
2020-11-04,2345940.0
2020-11-05,2342623.0
2020-11-06,2342623.0
2020-11-07,2349344.0
2020-11-08,2349344.0
2020-11-09,2349344.0
2020-11-10,2349678.0
2020-11-11,2349678.0
2020-11-12,2350989.0
2020-11-13,2350557.0
2020-11-14,2350557.0
2020-11-15,2350557.0
2020-11-16,2350557.0
2020-11-17,2350557.0
2020-11-18,2350557.0
2020-11-19,2350557.0
2020-11-20,2350126.0
2020-11-21,2349696.0
2020-11-22,2349268.0
2020-11-23,2349268.0
2020-11-24,2348435.0
2020-11-25,2348010.0
2020-11-26,2349305.0
2020-11-27,2350612.0
2020-11-28,2350612.0
2020-11-29,2350612.0
2020-11-30,2350612.0
2020-12-01,2350612.0
2020-12-02,2350612.0
2020-12-03,2350612.0
2020-12-04,2350612.0
2020-12-05,2350612.0
2020-12-06,2350612.0
2020-12-07,2350612.0
2020-12-08,2350612.0
2020-12-09,2350612.0
2020-12-10,2350612.0
2020-12-11,2351931.0
2020-12-12,2351496.0
2020-12-13,2351496.0
2020-12-14,2351496.0
2020-12-15,2351496.0
2020-12-16,2351496.0
2020-12-17,2351496.0
2020-12-18,2352823.0
2020-12-19,2354163.0
