date,btc_price,ma60,regime
2020-01-01,7200.85,,unknown
2020-01-02,6965.71,,unknown
2020-01-03,7344.96,,unknown
2020-01-04,7354.11,,unknown
2020-01-05,7358.75,,unknown
2020-01-06,7758.0,,unknown
2020-01-07,8145.28,,unknown
2020-01-08,8055.98,,unknown
2020-01-09,7817.76,,unknown
2020-01-10,8197.02,,unknown
2020-01-11,8020.01,,unknown
2020-01-12,8184.98,,unknown
2020-01-13,8110.34,,unknown
2020-01-14,8810.01,,unknown
2020-01-15,8821.41,,unknown
2020-01-16,8720.01,,unknown
2020-01-17,8913.28,,unknown
2020-01-18,8915.96,,unknown
2020-01-19,8701.7,,unknown
2020-01-20,8642.35,,unknown
2020-01-21,8736.03,,unknown
2020-01-22,8682.36,,unknown
2020-01-23,8404.52,,unknown
2020-01-24,8439.0,,unknown
2020-01-25,8340.58,,unknown
2020-01-26,8615.0,,unknown
2020-01-27,8907.57,,unknown
2020-01-28,9374.21,,unknown
2020-01-29,9301.53,,unknown
2020-01-30,9513.21,,unknown
2020-01-31,9352.89,,unknown
2020-02-01,9384.61,,unknown
2020-02-02,9331.51,,unknown
2020-02-03,9292.24,,unknown
2020-02-04,9197.02,,unknown
2020-02-05,9612.04,,unknown
2020-02-06,9772.0,,unknown
2020-02-07,9813.73,,unknown
2020-02-08,9895.05,,unknown
2020-02-09,10151.75,,unknown
2020-02-10,9851.83,,unknown
2020-02-11,10223.08,,unknown
2020-02-12,10326.46,,unknown
2020-02-13,10229.63,,unknown
2020-02-14,10344.36,,unknown
2020-02-15,9904.72,,unknown
2020-02-16,9917.27,,unknown
2020-02-17,9706.0,,unknown
2020-02-18,10164.71,,unknown
2020-02-19,9593.79,,unknown
2020-02-20,9596.42,,unknown
2020-02-21,9677.05,,unknown
2020-02-22,9650.86,,unknown
2020-02-23,9936.4,,unknown
2020-02-24,9656.13,,unknown
2020-02-25,9315.84,,unknown
2020-02-26,8785.25,,unknown
2020-02-27,8823.21,,unknown
2020-02-28,8692.91,,unknown
2020-02-29,8523.61,8984.58,unknown
2020-03-01,8531.88,9006.76,unknown
2020-03-02,8915.24,9039.26,unknown
2020-03-03,8760.07,9062.84,unknown
2020-03-04,8750.87,9086.12,unknown
2020-03-05,9054.68,9114.39,sideways
2020-03-06,9131.88,9137.28,sideways
2020-03-07,8886.66,9149.64,sideways
2020-03-08,8033.31,9149.26,sideways
2020-03-09,7929.87,9151.13,sideways
2020-03-10,7894.56,9146.09,sideways
2020-03-11,7934.52,9144.67,sideways
2020-03-12,4800.0,9088.25,bear
2020-03-13,5578.6,9046.05,bear
2020-03-14,5172.06,8985.42,bear
2020-03-15,5361.3,8927.75,bear
2020-03-16,5028.97,8866.24,bear
2020-03-17,5312.64,8806.23,bear
2020-03-18,5393.04,8747.51,bear
2020-03-19,6162.37,8705.19,bear
2020-03-20,6208.36,8664.62,bear
2020-03-21,6186.98,8622.14,bear
2020-03-22,5816.19,8574.37,bear
2020-03-23,6467.31,8542.08,bear
2020-03-24,6744.72,8513.84,bear
2020-03-25,6677.43,8486.12,bear
2020-03-26,6737.36,8454.83,bear
2020-03-27,6359.11,8412.35,bear
2020-03-28,6236.65,8360.06,bear
2020-03-29,5881.42,8303.06,bear
2020-03-30,6394.38,8251.08,bear
2020-03-31,6410.44,8202.04,bear
2020-04-01,6642.92,8156.34,bear
2020-04-02,6794.09,8114.05,bear
2020-04-03,6734.1,8071.42,bear
2020-04-04,6856.99,8032.42,bear
2020-04-05,6772.78,7985.1,bear
2020-04-06,7329.9,7944.4,bear
2020-04-07,7197.32,7900.79,bear
2020-04-08,7361.28,7858.56,bear
2020-04-09,7283.54,7810.76,bear
2020-04-10,6858.92,7760.87,bear
2020-04-11,6876.83,7705.1,bear
2020-04-12,6903.79,7648.06,bear
2020-04-13,6837.91,7591.53,bear
2020-04-14,6868.7,7533.6,bear
2020-04-15,6621.24,7478.88,bear
2020-04-16,7101.94,7431.95,bear
2020-04-17,7027.55,7387.31,bear
2020-04-18,7248.6,7338.71,bear
2020-04-19,7120.74,7297.49,bear
2020-04-20,6826.83,7251.34,bear
2020-04-21,6841.37,7204.07,bear
2020-04-22,7125.14,7161.98,bear
2020-04-23,7482.39,7121.08,sideways
2020-04-24,7505.0,7085.23,sideways
2020-04-25,7538.67,7055.61,sideways
2020-04-26,7693.1,7037.4,sideways
2020-04-27,7774.62,7019.93,sideways
2020-04-28,7738.98,7004.03,sideways
2020-04-29,8778.57,7008.28,sideways
2020-04-30,8620.0,7009.75,sideways
2020-05-01,8826.96,7008.28,sideways
2020-05-02,8972.05,7011.81,sideways
2020-05-03,8894.16,7014.2,bull
2020-05-04,8871.96,7011.15,bull
2020-05-05,9021.83,7009.32,sideways
2020-05-06,9142.92,7013.59,bull
2020-05-07,9986.4,7046.14,bull
2020-05-08,9800.01,7077.31,bull
2020-05-09,9539.4,7104.72,bull
2020-05-10,8722.77,7117.86,bull
2020-05-11,8561.52,7180.55,bull
2020-05-12,8810.79,7234.42,bull
2020-05-13,9309.37,7303.38,bull
2020-05-14,9791.98,7377.22,bull
2020-05-15,9316.42,7448.68,bull
2020-05-16,9381.27,7516.49,bull
2020-05-17,9680.04,7587.94,bull
2020-05-18,9733.93,7647.47,bull
2020-05-19,9775.53,7706.92,bull
2020-05-20,9511.43,7762.33,bull
2020-05-21,9068.65,7816.53,bull
2020-05-22,9170.0,7861.58,bull
2020-05-23,9179.15,7902.15,bull
2020-05-24,8720.34,7936.2,bull
2020-05-25,8900.35,7972.25,bull
2020-05-26,8841.18,8013.62,bull
2020-05-27,9204.07,8063.08,bull
2020-05-28,9575.89,8124.65,bull
2020-05-29,9427.07,8175.19,bull
2020-05-30,9697.72,8229.98,bull
2020-05-31,9448.27,8276.74,bull
2020-06-01,10200.77,8333.52,bull
2020-06-02,9518.04,8379.92,bull
2020-06-03,9666.24,8426.74,bull
2020-06-04,9789.06,8477.01,bull
2020-06-05,9619.5,8515.17,bull
2020-06-06,9679.5,8556.54,bull
