key,bot_type,leverage,trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe_ratio,final_capital
meanrevert_strict_b_lev1,meanrevert_strict,1,168,75.0,6.6,182.9,-1.2,3.73,2829364.0
meanrevert_strict_b_lev3,meanrevert_strict,3,168,75.0,6.55,585.8,-3.1,3.37,6858347.0
meanrevert_strict_a_lev1,meanrevert_strict,1,220,61.4,3.35,208.9,-2.6,3.17,3089377.0
meanrevert_strict_b_lev5,meanrevert_strict,5,168,75.0,6.61,988.6,-3.9,3.15,10886450.0
meanrevert_frarb_lev1,meanrevert_frarb,1,1030,41.9,1.73,686.0,-8.0,2.96,7859534.0
meanrevert_strict_a_lev3,meanrevert_strict,3,220,61.4,3.4,664.0,-4.1,2.93,7639768.0
meanrevert_strict_b_lev10,meanrevert_strict,10,168,75.0,6.64,1994.6,-5.8,2.74,20946394.0
meanrevert_strict_a_lev5,meanrevert_strict,5,220,61.4,3.41,1118.2,-6.8,2.72,12181558.0
meanrevert_frarb_lev3,meanrevert_frarb,3,1030,41.9,1.73,2097.7,-18.0,2.46,21976861.0
meanrevert_wide_a_lev1,meanrevert_wide,1,1105,43.3,1.59,746.4,-19.5,2.41,8463949.0
meanrevert_strict_a_lev10,meanrevert_strict,10,220,61.4,3.42,2254.6,-13.4,2.35,23546157.0
meanrevert_frarb_lev5,meanrevert_frarb,5,1030,41.9,1.74,3530.0,-20.6,2.28,36299947.0
meanrevert_wide_a_lev3,meanrevert_wide,3,1105,43.3,1.59,2297.4,-22.7,2.08,23974300.0
meanrevert_frarb_lev10,meanrevert_frarb,10,1030,41.9,1.74,7100.1,-29.3,1.99,72001083.0
meanrevert_wide_a_lev5,meanrevert_wide,5,1105,43.3,1.59,3854.7,-28.0,1.84,39547443.0
alpha_r7_lev1,alpha_relaxed,1,225,35.6,1.97,128.5,-9.5,1.61,2284603.0
meanrevert_wide_a_lev10,meanrevert_wide,10,1105,43.3,1.59,7702.5,-48.4,1.51,78024791.0
alpha_r7_lev3,alpha_relaxed,3,225,35.6,1.93,429.2,-17.5,1.5,5291865.0
sectorsync_nofear_1h_lev3,sectorsync_nofear_1h,3,395,36.5,1.36,428.0,-15.8,1.43,5280252.0
sectorsync_nofear_1h_lev5,sectorsync_nofear_1h,5,395,36.5,1.37,733.0,-16.8,1.43,8330355.0
alpha_r7_lev5,alpha_relaxed,5,225,35.6,1.93,725.6,-22.4,1.43,8256499.0
sectorsync_nofear_1h_lev10,sectorsync_nofear_1h,10,395,36.5,1.37,1484.7,-26.8,1.38,15846624.0
alpha_r7_lev10,alpha_relaxed,10,225,35.6,1.94,1474.1,-40.5,1.3,15740710.0
sectorsync_nofear_1h_lev1,sectorsync_nofear_1h,1,395,36.5,1.33,127.9,-11.6,1.26,2279309.0
sectorsync_nofear_1m_lev5,sectorsync_nofear_1m,5,437,34.8,1.27,609.6,-27.8,1.26,7095666.0
sectorsync_nofear_1m_lev3,sectorsync_nofear_1m,3,437,34.8,1.26,356.0,-26.0,1.24,4559513.0
sectorsync_nofear_1m_lev10,sectorsync_nofear_1m,10,437,34.8,1.27,1242.9,-35.4,1.23,13429340.0
alpha_r6_lev5,alpha_relaxed,5,39,46.2,2.41,364.5,-21.5,1.12,4645254.0
alpha_r6_lev10,alpha_relaxed,10,39,46.2,2.43,749.7,-24.5,1.11,8496527.0
alpha_r6_lev3,alpha_relaxed,3,39,46.2,2.38,207.4,-18.3,1.1,3073777.0
sectorsync_nofear_1m_lev1,sectorsync_nofear_1m,1,437,34.8,1.25,109.6,-18.5,1.07,2096007.0
alpha_r10_lev1,alpha_relaxed,1,133,35.3,1.71,70.6,-12.8,1.06,1706341.0
alpha_r6_lev1,alpha_relaxed,1,39,46.2,2.34,53.9,-7.9,1.04,1538661.0
alpha_r10_lev3,alpha_relaxed,3,133,35.3,1.69,246.8,-32.1,1.01,3468378.0
alpha_r5_lev1,alpha_relaxed,1,174,35.6,1.54,95.1,-12.9,1.0,1950883.0
meanrevert_wide_b_lev1,meanrevert_wide,1,1037,35.6,1.24,298.1,-42.2,0.99,3980997.0
alpha_r4_lev1,alpha_relaxed,1,152,33.6,1.57,66.6,-15.0,0.97,1665737.0
